model,model_id,sample_position,video_id,question_index,condition,generation_step,module,layer,head,input_attention,generated_history_attention,video_attention,video_source_share,audio_attention,audio_source_share,transcription_attention,transcription_source_share,question_attention,question_source_share,other_text_attention,other_text_source_share,generated_token_id,generated_token
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,10,0.9999998807907104,1.1920928955078125e-07,0.21302446722984314,0.21302449262434156,0.0,0.0,0.0,0.0,3.880271037814964e-07,3.880271500379373e-07,0.7869750261306763,0.7869751199454212,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,11,1.0,0.0,0.8963565230369568,0.8963565230369568,0.0,0.0,0.0,0.0,0.0010257730027660728,0.0010257730027660728,0.10261774063110352,0.10261774063110352,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,12,1.0000001192092896,0.0,0.8607381582260132,0.8607380556180411,0.0,0.0,0.0,0.0,0.01801013946533203,0.018010137318356358,0.12125177681446075,0.1212517623601243,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,13,1.0,0.0,0.8440625667572021,0.8440625667572021,0.0,0.0,0.0,0.0,0.0731576457619667,0.0731576457619667,0.08277974277734756,0.08277974277734756,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,14,0.9999998807907104,1.1920928955078125e-07,0.9029902219772339,0.9029903296220696,0.0,0.0,0.0,0.0,0.05143250524997711,0.05143251138121025,0.045577164739370346,0.04557717017259242,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.0.self_attn,0,15,1.0,0.0,0.7894388437271118,0.7894388437271118,0.0,0.0,0.0,0.0,0.02205280400812626,0.02205280400812626,0.18850833177566528,0.18850833177566528,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,0,1.0,0.0,0.9256448745727539,0.9256448745727539,0.0,0.0,0.0,0.0,0.0002687277738004923,0.0002687277738004923,0.07408638298511505,0.07408638298511505,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,1,0.9999999403953552,5.960464477539063e-08,0.9870368838310242,0.9870369426630106,0.0,0.0,0.0,0.0,2.1010673663113266e-06,2.1010674915447083e-06,0.012960975058376789,0.01296097583091115,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,2,0.9999999403953552,5.960464477539063e-08,0.8508552312850952,0.850855282000022,0.0,0.0,0.0,0.0,0.05590331554412842,0.055903318876225884,0.09324140846729279,0.09324141402491415,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,3,1.0,0.0,0.5067269802093506,0.5067269802093506,0.0,0.0,0.0,0.0,0.0445522777736187,0.0445522777736187,0.4487207531929016,0.4487207531929016,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,4,1.0,0.0,0.7378444671630859,0.7378444671630859,0.0,0.0,0.0,0.0,0.027494274079799652,0.027494274079799652,0.23466132581233978,0.23466132581233978,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,5,0.9999999403953552,5.960464477539063e-08,0.27216267585754395,0.2721626920797045,0.0,0.0,0.0,0.0,0.03503645583987236,0.03503645792820799,0.6928008198738098,0.692800861167959,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,6,1.0,0.0,0.35296058654785156,0.35296058654785156,0.0,0.0,0.0,0.0,0.006267239339649677,0.006267239339649677,0.6407722234725952,0.6407722234725952,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,7,0.9999999403953552,5.960464477539063e-08,0.7508281469345093,0.7508281916873569,0.0,0.0,0.0,0.0,0.026732658967375755,0.02673266056076649,0.22243911027908325,0.22243912353748818,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,8,0.9999999403953552,5.960464477539063e-08,0.9999922513961792,0.9999923110003657,0.0,0.0,0.0,0.0,5.592930563125265e-10,5.592930896489924e-10,7.69713460613275e-06,7.69713506491775e-06,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,9,0.9999998807907104,1.1920928955078125e-07,0.30630990862846375,0.30630994514345466,0.0,0.0,0.0,0.0,0.057794637978076935,0.05779464486773549,0.635895311832428,0.6358953876370653,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,10,0.9999998807907104,1.1920928955078125e-07,0.9244185090065002,0.924418619205787,0.0,0.0,0.0,0.0,9.883951861411333e-05,9.883953039670353e-05,0.07548253983259201,0.07548254883081303,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,11,0.9999999403953552,5.960464477539063e-08,0.8533979654312134,0.853398016297699,0.0,0.0,0.0,0.0,0.000250830315053463,0.0002508303300041157,0.1463511735200882,0.14635118224329843,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,12,1.0,0.0,0.9564299583435059,0.9564299583435059,0.0,0.0,0.0,0.0,1.3481389032676816e-05,1.3481389032676816e-05,0.043556563556194305,0.043556563556194305,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,13,0.9999998807907104,1.1920928955078125e-07,0.3453429341316223,0.34534297529971303,0.0,0.0,0.0,0.0,1.0596608923663098e-08,1.059661018687747e-08,0.6546569466590881,0.654657024700287,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,14,1.0000001192092896,0.0,0.9833531975746155,0.9833530803497934,0.0,0.0,0.0,0.0,0.000254193291766569,0.00025419326146437093,0.01639268919825554,0.016392687244094938,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.1.self_attn,1,15,1.0,0.0,0.9799959659576416,0.9799959659576416,0.0,0.0,0.0,0.0,9.620777564123273e-05,9.620777564123273e-05,0.019907858222723007,0.019907858222723007,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,0,1.0000001192092896,0.0,0.0004218312678858638,0.00042183121759966404,0.0,0.0,0.0,0.0,5.36926791028236e-07,5.369267270215824e-07,0.9995777010917664,0.999577581932833,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,1,1.000000238418579,0.0,1.000000238418579,1.0,0.0,0.0,0.0,0.0,4.2531792974684346e-13,4.2531782834317117e-13,8.073574586653365e-10,8.073572661763643e-10,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.501342909203332e-22,1.501342909203332e-22,9.826185699124803e-17,9.826185699124803e-17,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.945098022880401e-19,5.945098022880401e-19,1.0774475929509197e-14,1.0774475929509197e-14,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,4,1.0,0.0,0.9999993443489075,0.9999993443489075,0.0,0.0,0.0,0.0,6.354629045191018e-10,6.354629045191018e-10,6.479584158114449e-07,6.479584158114449e-07,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,5,1.0,0.0,0.9202783107757568,0.9202783107757568,0.0,0.0,0.0,0.0,2.5223875127267092e-05,2.5223875127267092e-05,0.07969645410776138,0.07969645410776138,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,6,1.0,0.0,0.9912137985229492,0.9912137985229492,0.0,0.0,0.0,0.0,6.382138963090256e-05,6.382138963090256e-05,0.00872240774333477,0.00872240774333477,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,7,1.0,0.0,0.9065055847167969,0.9065055847167969,0.0,0.0,0.0,0.0,0.01126000564545393,0.01126000564545393,0.08223442733287811,0.08223442733287811,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,8,0.9999999403953552,5.960464477539063e-08,0.723238468170166,0.7232385112785406,0.0,0.0,0.0,0.0,0.0001576836220920086,0.00015768363149068544,0.2766038179397583,0.2766038344266316,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,9,1.0,0.0,0.9757634401321411,0.9757634401321411,0.0,0.0,0.0,0.0,0.000609769718721509,0.000609769718721509,0.023626822978258133,0.023626822978258133,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,10,0.9999999403953552,5.960464477539063e-08,0.9999999403953552,1.0,0.0,0.0,0.0,0.0,2.3065147014555976e-11,2.306514838934595e-11,3.3902030072141542e-09,3.390203209286012e-09,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,11,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.985136161237548e-17,3.985136161237548e-17,1.5721408549995708e-13,1.5721408549995708e-13,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,12,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.2849028249441357e-16,3.2849028249441357e-16,4.396543545892584e-11,4.396543545892584e-11,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,13,1.0000001192092896,0.0,0.9999995827674866,0.999999463558261,0.0,0.0,0.0,0.0,2.681987687491727e-10,2.6819873677739184e-10,4.831042019759479e-07,4.831041443854461e-07,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,14,1.0,0.0,0.6747522354125977,0.6747522354125977,0.0,0.0,0.0,0.0,0.0011860221857205033,0.0011860221857205033,0.3240617513656616,0.3240617513656616,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.2.self_attn,2,15,0.9999998807907104,1.1920928955078125e-07,0.6492623090744019,0.6492623864725097,0.0,0.0,0.0,0.0,0.00036012561758980155,0.00036012566052012567,0.35037747025489807,0.35037751202315237,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.808093095958136e-14,3.808093095958136e-14,1.149116357623825e-10,1.149116357623825e-10,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.817020239515152e-17,7.817020239515152e-17,2.0364778114713433e-13,2.0364778114713433e-13,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,2,1.0,0.0,0.9943307638168335,0.9943307638168335,0.0,0.0,0.0,0.0,0.0006165774539113045,0.0006165774539113045,0.005052662454545498,0.005052662454545498,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,3,1.0,0.0,0.9854056239128113,0.9854056239128113,0.0,0.0,0.0,0.0,0.0001655195956118405,0.0001655195956118405,0.014428912661969662,0.014428912661969662,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,4,0.9999999403953552,5.960464477539063e-08,0.9952899813652039,0.9952900406891132,0.0,0.0,0.0,0.0,0.0005017939256504178,0.0005017939555596682,0.004208156373351812,0.004208156624177493,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,5,1.0000001192092896,0.0,0.9945404529571533,0.9945403343987066,0.0,0.0,0.0,0.0,0.00011576590623008087,0.00011576589242971108,0.005343855824321508,0.0053438551872843285,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,6,1.0,0.0,0.865825891494751,0.865825891494751,0.0,0.0,0.0,0.0,0.010108694434165955,0.010108694434165955,0.12406538426876068,0.12406538426876068,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,7,1.0000001192092896,0.0,0.40933871269226074,0.40933866389528945,0.0,0.0,0.0,0.0,0.002894763136282563,0.0028947627911999475,0.5877666473388672,0.5877665772716311,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,8,1.0,0.0,0.9872113466262817,0.9872113466262817,0.0,0.0,0.0,0.0,1.3820520052831853e-06,1.3820520052831853e-06,0.012787312269210815,0.012787312269210815,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,9,0.9999999403953552,5.960464477539063e-08,0.9707283973693848,0.9707284552293095,0.0,0.0,0.0,0.0,0.00015821070701349527,0.00015821071644358883,0.029113363474607468,0.02911336520989926,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,10,1.0,0.0,0.9398434162139893,0.9398434162139893,0.0,0.0,0.0,0.0,0.00016638175293337554,0.00016638175293337554,0.05999022722244263,0.05999022722244263,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,11,1.0,0.0,0.9617370367050171,0.9617370367050171,0.0,0.0,0.0,0.0,4.157976945862174e-05,4.157976945862174e-05,0.03822140395641327,0.03822140395641327,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,12,1.0,0.0,0.06089024618268013,0.06089024618268013,0.0,0.0,0.0,0.0,0.0031531434506177902,0.0031531434506177902,0.935956597328186,0.935956597328186,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,13,1.0,0.0,0.3166908323764801,0.3166908323764801,0.0,0.0,0.0,0.0,0.025939397513866425,0.025939397513866425,0.6573697328567505,0.6573697328567505,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,14,0.9999998211860657,1.7881393432617188e-07,0.9802976846694946,0.9802978599604117,0.0,0.0,0.0,0.0,2.5789304345380515e-06,2.5789308956868314e-06,0.019699566066265106,0.01969956958882265,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.3.self_attn,3,15,1.0,0.0,0.9755158424377441,0.9755158424377441,0.0,0.0,0.0,0.0,4.236632321408251e-06,4.236632321408251e-06,0.02447991445660591,0.02447991445660591,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.120552261037801e-09,3.120552261037801e-09,3.6017070215166314e-08,3.6017070215166314e-08,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,1,1.0000001192092896,0.0,0.4770749509334564,0.47707489406169723,0.0,0.0,0.0,0.0,0.00027162302285432816,0.0002716229904743444,0.5226535797119141,0.5226535174067596,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,2,1.0,0.0,0.6300681233406067,0.6300681233406067,0.0,0.0,0.0,0.0,0.0006509533268399537,0.0006509533268399537,0.3692809045314789,0.3692809045314789,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,3,0.9999999403953552,5.960464477539063e-08,0.6521885991096497,0.6521886379831218,0.0,0.0,0.0,0.0,0.00010307913180440664,0.00010307913794840204,0.3477082848548889,0.34770830557991894,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,4,0.9999999403953552,5.960464477539063e-08,0.9962453246116638,0.996245383992516,0.0,0.0,0.0,0.0,7.155631919886218e-06,7.1556323463951425e-06,0.0037474415730684996,0.003747441796433437,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,5,0.9999998807907104,1.1920928955078125e-07,0.9890824556350708,0.9890825735429017,0.0,0.0,0.0,0.0,0.0002402848331257701,0.00024028486176995775,0.010677162557840347,0.010677163830657461,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,6,0.9999999403953552,5.960464477539063e-08,0.08032593131065369,0.08032593609845258,0.0,0.0,0.0,0.0,0.03835882991552353,0.0383588322018881,0.8813151717185974,0.8813152242490783,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,7,0.9999999403953552,5.960464477539063e-08,0.014928421936929226,0.014928422826732566,0.0,0.0,0.0,0.0,0.009920503944158554,0.009920504535466702,0.975151002407074,0.9751510605306065,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,8,0.9999999403953552,5.960464477539063e-08,0.19696170091629028,0.1969617126561232,0.0,0.0,0.0,0.0,0.14931274950504303,0.14931275840477695,0.6537255048751831,0.6537255438402619,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,9,1.0,0.0,0.30322250723838806,0.30322250723838806,0.0,0.0,0.0,0.0,0.010598234832286835,0.010598234832286835,0.6861792802810669,0.6861792802810669,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,10,0.9999998807907104,1.1920928955078125e-07,0.9999997615814209,0.9999998807906962,0.0,0.0,0.0,0.0,9.215196271268128e-36,9.215197369805259e-36,9.268535450246418e-08,9.268536555142076e-08,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,11,0.9999999403953552,5.960464477539063e-08,0.9999980926513672,0.9999981522559018,0.0,0.0,0.0,0.0,3.7564441571001687e-36,3.7564443810017016e-36,1.8273520936418208e-06,1.8273522025604998e-06,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,12,1.0,0.0,0.9969888925552368,0.9969888925552368,0.0,0.0,0.0,0.0,7.284517778316513e-05,7.284517778316513e-05,0.002938248449936509,0.002938248449936509,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,13,1.0000001192092896,0.0,0.9878872632980347,0.9878871455327098,0.0,0.0,0.0,0.0,4.833305524698517e-07,4.833304948523668e-07,0.012112323194742203,0.012112321750840932,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,14,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.154041521337738e-26,5.154041521337738e-26,3.765210528344082e-14,3.765210528344082e-14,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.4.self_attn,4,15,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1701967598429147e-25,1.1701967598429147e-25,1.3883457303732895e-17,1.3883457303732895e-17,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,0,1.0,0.0,0.19928956031799316,0.19928956031799316,0.0,0.0,0.0,0.0,0.019005483016371727,0.019005483016371727,0.7817049622535706,0.7817049622535706,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,1,1.0,0.0,0.42480984330177307,0.42480984330177307,0.0,0.0,0.0,0.0,0.05803828313946724,0.05803828313946724,0.5171518325805664,0.5171518325805664,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,2,1.0000001192092896,0.0,0.07690396159887314,0.07690395243120761,0.0,0.0,0.0,0.0,0.004896964877843857,0.004896964294080222,0.9181991815567017,0.9181990720988427,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,3,1.0000001192092896,0.0,0.11769641935825348,0.11769640532774862,0.0,0.0,0.0,0.0,0.001680156565271318,0.0016801563649810713,0.8806235194206238,0.8806234144421322,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,4,1.0,0.0,0.8894726037979126,0.8894726037979126,0.0,0.0,0.0,0.0,0.01604405790567398,0.01604405790567398,0.0944833755493164,0.0944833755493164,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,5,1.0,0.0,0.0015941672027111053,0.0015941672027111053,0.0,0.0,0.0,0.0,4.877320742375721e-14,4.877320742375721e-14,0.9984058737754822,0.9984058737754822,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,6,1.0,0.0,0.6624431610107422,0.6624431610107422,0.0,0.0,0.0,0.0,0.011983317323029041,0.011983317323029041,0.32557350397109985,0.32557350397109985,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,7,1.0000001192092896,0.0,0.11633468419313431,0.1163346703249609,0.0,0.0,0.0,0.0,0.011406363919377327,0.011406362559632949,0.8722590208053589,0.8722589168239931,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,8,1.0,0.0,0.18498660624027252,0.18498660624027252,0.0,0.0,0.0,0.0,0.017230655997991562,0.017230655997991562,0.7977827787399292,0.7977827787399292,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,9,1.0000001192092896,0.0,0.2560855746269226,0.25608554409914686,0.0,0.0,0.0,0.0,0.027530115097761154,0.027530111815916084,0.7163844108581543,0.7163843254584878,235270,ന്‍സ്
gemma-12B,google/gemma-3-12b-it,1,91,1,audio_video,0,model.language_model.layers.5.self_attn,5,10,0.9999998807907104,1.1920928955078125e-07,0.09107784926891327,0.09107786012624026,0.0,0.0,0.0,0.0,0.0072381021454930305,0.007238103008342148,0.9016839265823364,0.9016840340714495,235270,ന്‍സ്
