model,video_id,dim,question,score_entita,score_eventi,score_inferenza,score_comprensione,livello,proficiency_pass,vsv_item_accuracy,vsv_correct_items,vsv_pool_correct
gemma,video006,spaziale,Dove parla il ragazzo che dice 'pizza'?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video006,temporale,"Chi saluta per primo, l'uomo con la maglia bianca o quello con la maglia verde?",0,0,0,0,insufficiente,0,0.75,3,0
gemma,video006,causale,Perché l'uomo decide di non pagare il ragazzo?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video007,spaziale,Dove si trova Anastasia quando inizia a piangere?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video007,temporale,La bambina ride prima o dopo essere caduta?,50,30,20,25,insufficiente,0,0.75,3,0
gemma,video007,causale,Perché Anastasia piange?,50,50,20,30,insufficiente,0,0.75,3,0
gemma,video008,spaziale,Dove mette 'spesa proletaria' l'uomo con la fascia rossa?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video008,temporale,La donna con il grembiule rosso arriva prima o dopo che l'uomo con il gilet nero spieghi il piano di fuga all'uomo col completo?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video008,causale,Perché l'uomo con il completo grigio è preoccupato di finire 'elemosinaro'?,50,30,20,30,insufficiente,0,0.75,3,0
gemma,video009,spaziale,Dove mette i 100 dollari l'uomo col cappello peloso?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video009,temporale,L'uomo con il cappello peloso viene scambiato per omosessuale prima o dopo aver chiesto il cambio di camera?,50,30,20,30,parziale,0,0.75,3,0
gemma,video009,causale,Perché l'uomo con il cappello peloso urla 'a me non piacciono gli uomini'?,50,30,20,25,insufficiente,0,0.75,3,0
gemma,video010,spaziale,Da dove scende l'acqua?,100,100,100,100,completa,1,1.0,4,1
gemma,video010,temporale,I familiari dei pazienti denunciano i danni all'ospedale prima o dopo che piova?,0,50,0,20,insufficiente,0,1.0,4,1
gemma,video010,causale,Perché i pazienti e i familiari sono arrabbiati?,50,70,60,55,parziale,0,1.0,4,1
gemma,video011,spaziale,Dove si trova il cellulare?,100,100,100,100,completa,1,1.0,4,1
gemma,video011,temporale,La figlia si arrabbia prima o dopo aver chiamato il padre?,50,20,10,20,insufficiente,0,0.25,1,0
gemma,video011,causale,Perché la figlia dice al padre 'scandaloso'?,30,20,10,25,insufficiente,0,0.75,3,0
gemma,video012,spaziale,Dove viene applicato l'ombretto dorato?,50,60,40,45,parziale,0,1.0,4,1
gemma,video012,temporale,La base viene stesa prima o dopo l'ombretto sulla palpebra?,50,70,40,45,parziale,0,1.0,4,1
gemma,video012,causale,Perché la donna decide di non partire dal fondotinta?,50,40,20,30,parziale,0,0.5,2,0
gemma,video013,spaziale,Dove vengono aggiunti i due cucchiai in più di farina?,50,50,40,45,parziale,0,0.75,3,0
gemma,video013,temporale,La donna parla dello zucchero di canna prima o dopo aver rotto le uova?,50,30,20,25,insufficiente,0,0.75,3,0
gemma,video013,causale,Perché la farina viene messa dopo lo zucchero?,50,60,30,40,parziale,0,0.75,3,0
gemma,video014,spaziale,Dove va messa la piantina?,80,70,75,75,sufficiente,1,0.75,3,0
gemma,video014,temporale,L'uomo trova l'animale trasparente prima o dopo aver piantato la lattuga?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video014,causale,Perché la tecnica di trapiantare solo due dita va bene sulla piantina mostrata?,50,40,30,35,parziale,0,0.5,2,0
gemma,video015,spaziale,Dove fanno esercizi le ginnaste dell'Eterea?,0,50,0,20,insufficiente,0,1.0,4,1
gemma,video015,temporale,Quando si è qualificata alla fase nazionale la squadra di ginnaste?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video015,causale,Perché Alice Caldora è stata premiata nel 2016?,20,20,0,15,insufficiente,0,0.5,2,0
gemma,video016,spaziale,Dove viene messo il pepe macinato al momento?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video016,temporale,Il pepe viene macinato prima o dopo che si mette a fare il brodo vegetale?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video016,causale,Perché l'uomo taglia una quantità superiore di sedano?,50,40,20,30,parziale,0,0.5,2,0
gemma,video017,spaziale,Dove si trovano le biglie?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video017,temporale,La donna guarda la foto prima o dopo aver chiuso il manuale?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video017,causale,Perché il padre ironizza sul futuro da architetto del figlio?,50,30,20,25,insufficiente,0,0.0,0,0
gemma,video018,spaziale,Dove si siede l'uomo per lavorare?,50,30,20,30,parziale,0,0.5,2,0
gemma,video018,temporale,L'uomo dà i suoi omaggi alla donna prima o dopo essersi seduto?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video018,causale,Perché la donna crede che l'uomo voglia stare solo?,50,40,30,35,parziale,0,1.0,4,1
gemma,video019,spaziale,Dove appoggia il libro il padre?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video019,temporale,Si mangerà prima o dopo che il papà avrà lavorato?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video019,causale,Perché l'uomo dice alla bambina di guardare le figure?,50,40,30,35,parziale,0,0.75,3,0
gemma,video020,spaziale,Da dove è caduto 'Caruso' secondo il professore?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video020,temporale,La classe fa casino prima o dopo il botto?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video020,causale,Perché accorre il collaboratore scolastico preoccupato?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video021,spaziale,Dove è rivolto lo sguardo di Italo quando la donna lo rimprovera di guardarla?,50,30,20,30,insufficiente,0,1.0,4,1
gemma,video021,temporale,Cosa deve fare Italo prima di 'rimettere piede' in casa?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video021,causale,Perché la donna si arrabbia con Italo?,50,30,20,25,insufficiente,0,1.0,4,1
gemma,video022,spaziale,Dove si sono incontrati Scott e Luis per la prima volta?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video022,temporale,La moglie di Scott lo ha lasciato prima o dopo che Scott incontrasse Luis per la prima volta?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video022,causale,Perché Scott è triste mentre guarda i fogli in prigione?,50,30,20,30,insufficiente,0,0.75,3,0
gemma,video023,spaziale,Da dove cade la bambina?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video023,temporale,La donna dice ad 'Ani' di salire prima o dopo essere scesa nell'acqua?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video023,causale,Perché la donna ringrazia Anastasia?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video024,spaziale,Le bambine e la nonna stanno giocando dentro casa o fuori in giardino?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video024,temporale,Alla nonna gira la testa prima o dopo essersi coperta gli occhi?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video024,causale,Perché la nonna porta la mascherina sugli occhi?,50,40,20,30,parziale,0,1.0,4,1
gemma,video025,spaziale,Dove si trova lo scivolo?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video025,temporale,La bambina con il costume azzurro va sullo scivolo prima o dopo che Aria saluti la donna?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video025,causale,Perché la mamma fa i complimenti alla bambina?,50,50,30,40,parziale,0,1.0,4,1
gemma,video026,spaziale,Dove deve rilasciare liberi i pesi l'uomo sull'attrezzo?,50,30,20,30,insufficiente,0,1.0,4,1
gemma,video026,temporale,Dopo quale ripetizione il pelato dà assistenza?,50,30,20,30,insufficiente,0,0.25,1,0
gemma,video026,causale,Perché l'uomo in piedi dice che 'ora è bello per lo spotter'?,50,30,20,30,parziale,0,0.75,3,0
gemma,video027,spaziale,Dove indica di dormire l'uomo?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video027,temporale,La ragazza ride prima o dopo aver aperto la porta?,50,80,70,65,sufficiente,1,0.25,1,0
gemma,video027,causale,Perché la ragazza trova la situazione divertente?,80,70,60,65,sufficiente,1,0.75,3,0
gemma,video028,spaziale,Dove vengono messe le banane?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video028,temporale,I due uomini con gli occhiali si accordano su cosa prendere prima o dopo aver salutato l'uomo con il grembiule giallo?,50,30,20,25,insufficiente,0,0.5,2,0
gemma,video028,causale,Perché l'uomo con gli occhiali chiede le banane all'uomo con il grembiule giallo?,50,30,20,30,insufficiente,0,1.0,4,1
gemma,video029,spaziale,Dove si trova il tabaccaio?,0,0,0,0,insufficiente,0,0.0,0,0
gemma,video029,temporale,Il tabaccaio si arrabbia prima o dopo che il signore con la maglia a righe dia indicazioni?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video029,causale,Perché il signore con la camicia bianca urla al tabaccaio?,20,20,0,19,insufficiente,0,0.5,2,0
gemma,video030,spaziale,Dove vuole mettere i gonfiabili la donna fuori campo?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video030,temporale,La bambina con la maglia rosa ha cenato prima di mettere il piede in piscina o ha messo il piede in piscina prima di cenare?,50,50,30,40,parziale,0,0.75,3,0
gemma,video030,causale,Perché la bambina con la maglietta bianca urla?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video031,spaziale,Dove mette la donna fuori campo l'avocado per farlo assaggiare alla bambina?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video031,temporale,La bambina acconsente a mangiare il frutto prima o dopo che la donna dica 'dai prova amore'?,50,50,30,40,parziale,0,0.75,3,0
gemma,video031,causale,Perché la bambina urla?,50,30,20,25,insufficiente,0,0.75,3,0
gemma,video032,spaziale,Dove si trova l'oggetto che vuole la bambina con la maglietta rossa e bianca?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video032,temporale,La bambina con la maglietta rossa e bianca prende la forchetta in mano prima o dopo che la bambina con la maglia rosa dica 'no'?,40,20,10,25,insufficiente,0,1.0,4,1
gemma,video032,causale,Perché la bambina con la maglietta rosa dice di 'no'?,50,30,20,25,insufficiente,0,1.0,4,1
gemma,video033,spaziale,Dove si tuffano i due uomini in costume?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video033,temporale,Chi si trova in vantaggio per primo tra 'Bobo' e 'Massi'?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video033,causale,Perché la donna in sottofondo è preoccupata?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video034,spaziale,"Dove si trova la palla all'inizio, nelle mani di Anastasia o nelle mani di Vanessa?",0,0,0,0,insufficiente,0,0.75,3,0
gemma,video034,temporale,Anastasia fa le flessioni prima o dopo che Vanessa venga rimproverata?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video034,causale,Perché la donna rimprovera Vanessa?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video035,spaziale,Dove si trova il cliente che non saluta?,50,40,30,35,parziale,0,0.75,3,0
gemma,video035,temporale,Il cliente che risponde al saluto si presenta prima o dopo il cliente che non saluta?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video035,causale,Perché il contatore in rosso apparso a video aumenta?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video036,spaziale,Dove si trova il finto cieco?,80,70,60,70,sufficiente,1,1.0,4,1
gemma,video036,temporale,Il ragazzo si abbassa gli occhiali da sole prima o dopo aver detto che si fingerà cieco?,50,20,10,20,insufficiente,0,0.5,2,0
gemma,video036,causale,Perché il ragazzo che finge di essere cieco non attraversa la strada?,70,50,30,40,parziale,0,0.75,3,0
gemma,video037,spaziale,Dove si trovano i rifiuti?,100,100,100,100,completa,1,0.75,3,0
gemma,video037,temporale,Le trombette vengono suonate prima o dopo che la donna vestita di nero si pieghi?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video037,causale,Perché il ragazzo con il cappellino a punta suona la trombetta?,50,30,20,30,insufficiente,0,0.75,3,0
gemma,video038,spaziale,Dove si trovano le 'ragazze'?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video038,temporale,L'osso viene fatto annusare prima a 'Nandina' o a 'Giulietta'?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video038,causale,Perché l'uomo con la tuta blu definisce la situazione inquietante?,30,20,10,20,insufficiente,0,1.0,4,1
gemma,video039,spaziale,Dove guarda l'uomo con la camicia azzurra quando fa un verso di sorpresa?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video039,temporale,L'uomo con la maglia grigia intima all'uomo in camicia che pagherà lui prima o dopo che si sono seduti?,50,30,20,25,insufficiente,0,0.25,1,0
gemma,video039,causale,Perché l'uomo con la maglietta grigia vuole pagare il conto?,50,30,20,25,insufficiente,0,1.0,4,1
gemma,video040,spaziale,"Dove sente bruciore Vanessa, secondo la voce fuori campo?",0,0,0,0,insufficiente,0,0.5,2,0
gemma,video040,temporale,Quando dice la voce fuori campo che disinfetterà il piedino di Vanessa?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video040,causale,Perché la voce fuori campo chiede ad Anastasia 'come va?'?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video041,spaziale,Dove sono andate le circa 60 persone secondo la tradizione?,100,100,100,100,completa,1,1.0,4,1
gemma,video041,temporale,Quando si è aperto il 'Capodanno pesarese' secondo la voce narrante?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video041,causale,Perché le persone portano il cappello di babbo natale al mare?,80,90,70,75,sufficiente,1,1.0,4,1
gemma,video042,spaziale,Dove hanno lavato le mani il bambino con la maglietta blu e la bambina con il vestito rosa?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video042,temporale,Sami si mette la crema solare prima o dopo essere andata a riva?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video042,causale,Perché la bambina con la maglietta gialla torna correndo sull'asciugamano?,50,30,20,30,parziale,0,1.0,4,1
gemma,video043,spaziale,Dove si allena la ragazza?,50,70,30,40,parziale,0,0.75,3,0
gemma,video043,temporale,La ragazza con gli occhiali tira un calcio posteriore prima o dopo che l'uomo con la felpa rossa e blu le parli?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video043,causale,Perché Sara Luconi porta gli occhiali?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video044,spaziale,"In questa scena tratta da un film, da dove viene afferrata la ragazza?",0,0,0,0,insufficiente,0,0.25,1,0
gemma,video044,temporale,"In questa scena tratta da un film, la donna colpisce il malvivente prima o dopo aver detto: 'Io i soldi me li fatico'?",0,0,0,0,insufficiente,0,0.75,3,0
gemma,video044,causale,Perché in questo spezzone di film la donna alla fine scappa?,50,40,30,35,parziale,0,1.0,4,1
gemma,video045,spaziale,Dove sono stati postati i video dei fatti raccontati al telegiornale?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video045,temporale,I fatti si sono svolti prima o dopo mezzogiorno?,0,0,0,0,insufficiente,0,0.0,0,0
gemma,video045,causale,Perché le forze dell'ordine reclamano i rinforzi per aiutarli a sedare la folla?,50,50,30,40,parziale,0,0.25,1,0
gemma,video046,spaziale,Dove possiamo vedere che la prima risposta al comando vocale è giusta?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video046,temporale,Il ragazzo chiede prima 'Chi ti ha programmato?' o l'orario?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video046,causale,Perché l'uomo dice che le 23:47 sono l'orario giusto?,50,40,30,35,parziale,0,0.75,3,0
gemma,video047,spaziale,Dove si trovava il telefono prima che la donna rispondesse?,80,70,60,65,sufficiente,1,0.75,3,0
gemma,video047,temporale,La signora anziana grida 'Oddio! Cosa posso fare?' prima o dopo aver detto di essere sola?,20,0,0,10,insufficiente,0,0.0,0,0
gemma,video047,causale,Perché la donna anziana è preoccupata?,80,60,40,50,parziale,0,0.75,3,0
gemma,video048,spaziale,Dove sbatte la mano la professoressa?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video048,temporale,Quale bambino inizia a ridere per primo?,50,30,20,30,insufficiente,0,0.25,1,0
gemma,video048,causale,Perché i professori iniziano a comportarsi come dei bambini maleducati?,0,20,0,15,insufficiente,0,0.25,1,0
gemma,video049,spaziale,Dove si trovano gli operai?,80,70,60,70,sufficiente,1,1.0,4,1
gemma,video049,temporale,Quanto tempo ci vuole ai ragazzi nel video per ottenere la qualifica di operatore edile?,50,20,10,20,insufficiente,0,0.25,1,0
gemma,video049,causale,Perché gli studenti stanno lavorando come manovali?,40,60,20,30,insufficiente,0,1.0,4,1
gemma,video050,spaziale,I bambini si trovano dentro un autobus o per strada?,50,50,50,50,parziale,0,1.0,4,1
gemma,video050,temporale,L'app del 'Piedibus' è stata sviluppata alla nascita del progetto o dopo?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video050,causale,Perché il 'Piedibus' è ecologico?,50,40,30,35,parziale,0,1.0,4,1
gemma,video051,spaziale,Dove si trova la freccia per tornare indietro?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video051,temporale,La bambina si muove prima o dopo che le voci fuori campo elogino il bambino?,50,30,20,25,insufficiente,0,0.25,1,0
gemma,video051,causale,Perché la donna fuori campo è contenta della bambina che si muove indietro?,50,30,20,25,insufficiente,0,0.75,3,0
gemma,video052,spaziale,Dove si trovava l'oggetto che pesa un quintale prima che l'uomo lo prendesse in mano?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video052,temporale,L'uomo con la pelliccia tossisce prima o dopo aver preso la bambola in mano?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video052,causale,Perché l'uomo con il cappello dà la bambola all'uomo con il sigaro?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video053,spaziale,Dove si mette la mano il facchino quando il receptionist gli dice: 'Hai visto che sventola?',50,30,20,25,insufficiente,0,0.5,2,0
gemma,video053,temporale,La donna con la pelliccia bianca si tappa le orecchie prima o dopo che il receptionist prema il campanello?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video053,causale,Perché il receptionist non dà la chiave all'uomo con la pelliccia?,50,30,20,30,parziale,0,1.0,4,1
gemma,video054,spaziale,Dove stanno passando per andare al mare?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video054,temporale,Hanno appena visto quindici Cinquecento grigie o è successo prima?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video054,causale,Perché la bambina con la maglia azzurra crede che non troveranno più la macchina?,50,30,20,30,parziale,0,0.75,3,0
gemma,video055,spaziale,Dove si svolge la scena?,100,100,100,100,completa,1,1.0,4,1
gemma,video055,temporale,Il padre è andato a farsi il bagno prima o dopo le bambine?,50,30,20,30,parziale,0,0.25,1,0
gemma,video055,causale,Perché Vane corre subito indietro quando tocca l'acqua?,50,30,20,30,parziale,0,0.75,3,0
gemma,video056,spaziale,Dove si trova il pecorino in crema?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video056,temporale,La bambina mangia prima o dopo che venga buttato via l'insetto?,80,90,85,85,sufficiente,1,0.75,3,0
gemma,video056,causale,Perché la bambina butta via l'insetto?,50,30,20,25,insufficiente,0,0.25,1,0
gemma,video057,spaziale,I 'malloreddus alla campidanese' sono nel piatto di Anastasia o in quello di un'altra bambina?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video057,temporale,Anastasia inizia a masticare dopo che la voce le chiede se è buona o stava già masticando?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video057,causale,Perché la donna fuori campo dice che c'è un profumo buonissimo?,50,30,20,25,insufficiente,0,0.75,3,0
gemma,video058,spaziale,Dove si trova la macchia che sembra un livido?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video058,temporale,Anastasia fa un balletto mentre è sul treno o dopo che è scesa?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video058,causale,Perché la donna crede che la bambina abbia preso un pugno?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video059,spaziale,Dove sono seduti?,100,100,100,100,completa,1,1.0,4,1
gemma,video059,temporale,"La bambina dice prima che, quando sono saliti, la gondola dondolava oppure che è rilassante?",0,0,0,0,insufficiente,0,0.75,3,0
gemma,video059,causale,Perché la bambina con la canottiera verde/azzurra sorride?,100,60,30,45,parziale,0,1.0,4,1
gemma,video060,spaziale,Dove si attacca la sabbia alla bambina dopo essersi asciugata?,80,50,40,45,parziale,0,1.0,4,1
gemma,video060,temporale,La bambina indica col dito la sabbia prima o dopo che le si è attaccata alla mano?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video060,causale,"Perché, dopo che la bambina tocca l'asciugamano, la sabbia le si attacca alla mano?",50,40,30,35,parziale,0,1.0,4,1
gemma,video061,spaziale,Dove è caduto il telefono?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video061,temporale,Il telefono cade a terra prima che la donna entri nella stanza o dopo?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video061,causale,Perché la mamma rimprovera le bambine?,70,60,50,55,parziale,0,1.0,4,1
gemma,video062,spaziale,Dove appoggia la gonna la signora per controllare che le stia bene?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video062,temporale,"Dopo la gonna, la signora vuole vedere un'altra gonna o un pantalone?",0,0,0,0,insufficiente,0,0.0,0,0
gemma,video062,causale,Perché la donna scarta la prima gonna?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video063,spaziale,Dove si trova Gigi?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video063,temporale,Gigi inizia a cantare prima o dopo che la bambina parli?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video063,causale,Perché Gigi canta?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video064,spaziale,Da dove viene il cuscino?,50,30,20,30,parziale,0,0.75,3,0
gemma,video064,temporale,Le due bambine sistemano il cuscino sul divano prima o dopo che la bambina con il pigiama rosa scenda le scale?,40,20,10,25,insufficiente,0,1.0,4,1
gemma,video064,causale,Perché la ragazza sdraiata sul divano si agita?,50,60,30,40,parziale,0,0.75,3,0
gemma,video065,spaziale,Dove si svolge la premiazione?,50,50,20,30,parziale,0,1.0,4,1
gemma,video065,temporale,I ragazzi che ricevono la premiazione hanno già conseguito il diploma di maturità o lo stanno ricevendo ora?,50,40,30,35,parziale,0,1.0,4,1
gemma,video065,causale,Perché il ragazzo con la giacca grigia riceve un premio?,50,60,40,45,parziale,0,0.75,3,0
gemma,video066,spaziale,Dove si trova il quadro di Antonio?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video066,temporale,La donna dice che l'uomo ha una fissazione prima o dopo aver ricevuto il suo regalo?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video066,causale,Perché Peppino chiede a Lietta di togliere il quadro?,50,30,20,25,insufficiente,0,0.75,3,0
gemma,video067,spaziale,Dove mette le mani l'uomo col cappello?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video067,temporale,L'uomo con il cappello ride prima o dopo che l'uomo in grigio scansi le sue mani?,50,30,20,30,parziale,0,1.0,4,1
gemma,video067,causale,Perché l'uomo senza cappello continua a spostare le mani dell'uomo col cappello?,50,30,20,25,insufficiente,0,0.75,3,0
gemma,video068,spaziale,Dove si trova la reception?,100,100,100,100,completa,1,0.5,2,0
gemma,video068,temporale,Il ragazzo trova un volantino prima o dopo essere andato a parlare con la donna?,50,30,20,30,parziale,0,0.5,2,0
gemma,video068,causale,Perché la ragazza tira fuori un foglio da mostrare al ragazzo?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video069,spaziale,Dove si trova il ragazzo quando fa l'esercizio?,80,80,70,75,sufficiente,1,0.5,2,0
gemma,video069,temporale,L'allenatore rimprovera il ragazzo prima o dopo avergli detto che deve fare le flessioni?,0,0,0,0,insufficiente,0,0.25,1,0
gemma,video069,causale,Perché il ragazzo si trova in terra a fare flessioni?,80,70,50,60,sufficiente,1,0.75,3,0
gemma,video070,spaziale,Dove si trova la donna quando inizia a scalciare?,0,0,0,0,insufficiente,0,0.75,3,0
gemma,video070,temporale,La donna viene presa in braccio prima o dopo essere arrivata alla carrozza?,50,50,30,40,parziale,0,0.25,1,0
gemma,video070,causale,Perché la donna oppone resistenza all'uomo?,50,40,20,30,insufficiente,0,1.0,4,1
gemma,video071,spaziale,Dove si trovano gli ostacoli che la bambina bendata deve superare?,50,30,20,30,insufficiente,0,0.75,3,0
gemma,video071,temporale,La ragazzina con la benda sugli occhi scavalca lo step prima o dopo aver ruotato?,50,30,20,30,insufficiente,0,0.5,2,0
gemma,video071,causale,Perché la ragazza con la benda riesce a superare gli ostacoli?,50,40,20,30,parziale,0,0.5,2,0
gemma,video072,spaziale,Dove vengono messe le cose lasciate in giro?,50,30,20,30,parziale,0,0.5,2,0
gemma,video072,temporale,Cosa succede prima: Albi viene rimproverato o il ragazzo con la maglia nera sistema il disordine?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video072,causale,Perché Albi viene rimproverato dal ragazzo con la maglia nera?,30,20,10,20,insufficiente,0,1.0,4,1
gemma,video073,spaziale,Dov'è seduta la coppia?,100,100,100,100,completa,1,0.75,3,0
gemma,video073,temporale,Chi si sveglia prima tra il ragazzo e la ragazza?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video073,causale,Perché il ragazzo abbraccia la ragazza?,50,30,20,25,insufficiente,0,1.0,4,1
gemma,video074,spaziale,Dove si trovano le bambine?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video074,temporale,La bambina con lo spazzolino viola ride prima o dopo aver detto di sì?,0,0,0,0,insufficiente,0,0.5,2,0
gemma,video074,causale,Perché la bambina con lo spazzolino arancione rallenta i movimenti quando spazzola i denti?,50,40,20,30,insufficiente,0,0.75,3,0
gemma,video075,spaziale,Dove si trova il bambino che tira la palla di neve alla giornalista?,0,0,0,0,insufficiente,0,1.0,4,1
gemma,video075,temporale,La giornalista intervista il bambino prima o dopo che venga tirata la palla di neve?,0,50,0,20,insufficiente,0,0.5,2,0
