id_video,id_traccia,nome_classe,prima_comparsa,ultima_comparsa,durata_traccia,numero_osservazioni,confidenza_media
video008,142,bottle,36.25,36.25,0.0,1,0.3479
video008,145,bottle,36.75,40.25,3.5,9,0.2909
video009,1,person,0.0,34.75,34.75,120,0.9027
video009,2,person,0.0,34.75,34.75,140,0.872
video009,3,tie,1.25,5.5,4.25,18,0.7852
video009,4,person,1.25,34.5,33.25,84,0.5718
video009,6,person,1.75,3.25,1.5,5,0.5411
video009,8,laptop,3.5,5.75,2.25,10,0.4931
video009,10,person,6.25,6.25,0.0,1,0.8042
video009,11,person,6.25,27.5,21.25,86,0.8445
video009,17,clock,8.25,13.5,5.25,15,0.4619
video009,24,potted plant,10.75,10.75,0.0,1,0.4269
video009,25,potted plant,10.75,10.75,0.0,1,0.426
video009,32,person,13.75,14.75,1.0,5,0.7593
video009,35,laptop,17.25,24.0,6.75,4,0.4254
video009,48,cup,20.75,21.0,0.25,2,0.4858
video009,49,person,21.75,24.0,2.25,9,0.3247
video009,51,person,22.0,28.25,6.25,3,0.6584
video009,53,tie,22.25,26.75,4.5,13,0.331
video009,62,person,28.0,28.0,0.0,1,0.4659
video009,63,tie,28.25,30.5,2.25,9,0.5537
video009,75,tie,33.0,33.25,0.25,2,0.5685
video011,1,person,0.0,22.75,22.75,92,0.8639
video011,3,cup,2.5,19.0,16.5,21,0.5358
video011,7,person,7.25,22.75,15.5,63,0.8536
video011,13,cell phone,14.5,17.25,2.75,12,0.7122
video011,28,person,22.75,22.75,0.0,1,0.4811
video012,1,toothbrush,0.0,0.25,0.25,2,0.6692
video012,2,person,0.5,0.75,0.25,2,0.8543
video012,3,person,1.75,28.25,26.5,80,0.5747
video012,9,person,5.25,7.25,2.0,9,0.7892
video012,10,cell phone,5.5,6.5,1.0,5,0.6109
video012,15,person,10.25,10.25,0.0,1,0.736
video012,18,toothbrush,11.75,12.25,0.5,3,0.3976
video012,31,keyboard,16.75,26.75,10.0,23,0.58
video012,33,person,17.25,25.75,8.5,14,0.7703
video012,40,person,21.0,21.25,0.25,2,0.6179
video012,46,person,26.5,27.0,0.5,2,0.5927
video012,48,person,27.5,28.25,0.75,4,0.6964
video013,1,person,0.0,8.5,8.5,8,0.6075
video013,3,spoon,0.5,2.5,2.0,7,0.4409
video013,5,cake,0.5,29.25,28.75,55,0.4573
video013,13,person,3.0,9.25,6.25,16,0.7498
video013,14,fork,3.0,11.25,8.25,27,0.6032
video013,16,bowl,3.0,26.5,23.5,60,0.7309
video013,17,orange,3.0,8.25,5.25,21,0.3989
video013,18,orange,3.0,8.5,5.5,18,0.3768
video013,19,orange,3.0,8.5,5.5,19,0.3417
video013,21,person,4.0,9.25,5.25,19,0.513
video013,27,cup,5.5,8.25,2.75,9,0.7067
video013,28,wine glass,5.5,6.0,0.5,2,0.4407
video013,30,person,6.0,6.75,0.75,2,0.5945
video013,33,person,7.0,9.25,2.25,6,0.3396
video013,34,person,7.25,8.25,1.0,5,0.5692
video013,38,person,9.0,9.0,0.0,1,0.7464
video013,41,orange,9.75,9.75,0.0,1,0.4055
video013,47,person,11.5,11.75,0.25,2,0.4558
video013,50,person,13.25,13.5,0.25,2,0.3313
video013,54,bowl,18.0,32.75,14.75,39,0.4597
video013,55,cup,19.5,20.5,1.0,5,0.3089
video013,57,person,20.75,35.0,14.25,33,0.6417
video013,59,person,21.25,22.0,0.75,4,0.5141
video013,60,cup,21.25,22.5,1.25,6,0.3979
video013,63,person,23.5,24.5,1.0,3,0.4287
video013,64,cup,23.75,23.75,0.0,1,0.3849
video013,89,dining table,33.25,35.0,1.75,8,0.5036
video014,1,person,0.0,27.25,27.25,85,0.6403
video015,1,person,0.0,0.75,0.75,4,0.809
video015,2,person,0.0,0.0,0.0,1,0.5929
video015,3,person,0.0,8.0,8.0,13,0.6153
video015,7,person,1.25,11.25,10.0,30,0.8385
video015,39,person,7.25,7.75,0.5,3,0.5954
video015,51,person,8.5,9.0,0.5,3,0.7891
video015,53,person,8.75,10.5,1.75,8,0.7688
video015,55,person,8.75,8.75,0.0,1,0.5245
video015,57,person,9.25,12.75,3.5,8,0.6693
video015,66,suitcase,10.0,10.25,0.25,2,0.6129
video015,70,chair,10.0,11.0,1.0,5,0.4584
video015,84,person,11.5,24.25,12.75,17,0.7549
video015,99,snowboard,13.0,16.5,3.5,2,0.42
video015,103,person,13.75,18.0,4.25,11,0.6722
video015,104,person,13.75,25.25,11.5,31,0.7124
video015,106,chair,13.75,14.25,0.5,3,0.4522
video015,126,person,16.75,23.5,6.75,5,0.7688
video015,134,person,18.5,18.75,0.25,2,0.3973
video015,146,person,19.75,21.75,2.0,7,0.6479
video015,152,person,20.5,21.75,1.25,4,0.4738
video015,155,person,20.5,28.5,8.0,21,0.7349
video015,164,person,21.5,22.25,0.75,3,0.5966
video015,168,person,21.5,22.25,0.75,4,0.6598
video015,193,person,23.5,23.5,0.0,1,0.4969
video015,203,person,24.5,27.0,2.5,11,0.8378
video015,218,person,26.75,28.5,1.75,8,0.8996
video015,219,person,27.75,28.25,0.5,3,0.7924
video016,1,person,0.0,29.0,29.0,111,0.8991
video016,2,bowl,0.0,10.5,10.5,43,0.8379
video016,3,bowl,0.0,10.5,10.5,43,0.7787
video016,4,refrigerator,0.0,4.0,4.0,10,0.5107
video016,5,bottle,0.0,1.0,1.0,5,0.4255
video016,6,bottle,0.0,4.75,4.75,18,0.4758
video016,7,banana,0.0,0.0,0.0,1,0.33
video016,8,microwave,0.0,0.0,0.0,1,0.2881
video016,14,oven,1.5,1.5,0.0,1,0.3676
video016,16,cake,2.0,2.25,0.25,2,0.348
video016,19,bottle,2.5,2.75,0.25,2,0.3096
video016,20,microwave,2.5,3.5,1.0,5,0.3083
video016,21,oven,2.5,2.75,0.25,2,0.3551
video016,28,dining table,4.5,28.5,24.0,40,0.3497
video016,32,spoon,5.25,10.5,5.25,20,0.4836
video016,35,oven,5.5,8.0,2.5,7,0.5017
video016,37,bowl,6.25,7.25,1.0,4,0.3555
video016,44,bowl,6.75,9.25,2.5,9,0.3448
video016,51,refrigerator,7.5,14.25,6.75,9,0.594
video016,53,bowl,8.0,29.0,21.0,58,0.8336
video016,65,oven,9.5,10.25,0.75,3,0.5293
video016,84,bowl,12.5,14.25,1.75,8,0.881
video016,85,bowl,12.5,14.25,1.75,8,0.8424
video016,86,refrigerator,12.5,29.0,16.5,67,0.8119
video016,98,dining table,14.75,16.5,1.75,6,0.3239
video016,113,bowl,16.75,17.25,0.5,3,0.4677
video016,119,bottle,18.0,18.5,0.5,3,0.6092
video016,124,oven,18.5,23.25,4.75,16,0.4701
video016,133,refrigerator,19.25,29.0,9.75,40,0.6379
video016,134,bottle,19.25,27.0,7.75,31,0.6218
video016,139,cup,20.0,22.75,2.75,10,0.4432
video016,142,bottle,20.25,29.0,8.75,33,0.5559
video016,144,bottle,20.25,22.75,2.5,10,0.4422
video016,150,clock,22.0,27.0,5.0,14,0.3451
video016,152,bottle,22.5,29.0,6.5,10,0.6125
video016,156,bowl,23.5,23.5,0.0,1,0.3582
video016,164,cup,24.5,29.0,4.5,14,0.3904
video016,167,oven,24.75,29.0,4.25,18,0.4281
video016,168,bottle,25.0,27.0,2.0,7,0.3544
video016,175,bottle,26.75,29.0,2.25,9,0.6152
video016,184,bottle,28.5,29.0,0.5,3,0.3757
video016,189,microwave,29.0,29.0,0.0,1,0.5131
video017,1,person,0.0,17.0,17.0,50,0.7975
video017,2,person,0.0,2.75,2.75,2,0.7511
video017,42,person,6.0,11.25,5.25,11,0.8002
video017,47,person,8.0,15.25,7.25,21,0.7951
video017,53,umbrella,9.75,9.75,0.0,1,0.3549
video017,56,cup,9.75,26.25,16.5,18,0.5211
video017,67,surfboard,10.5,10.5,0.0,1,0.6554
video017,77,person,11.25,11.25,0.0,1,0.7686
video017,81,person,11.75,32.75,21.0,50,0.8104
video017,82,person,11.75,34.25,22.5,58,0.8331
video017,83,person,11.75,17.75,6.0,22,0.6588
video017,84,person,12.25,14.0,1.75,6,0.5505
video017,85,kite,12.75,12.75,0.0,1,0.3346
video017,93,person,16.75,17.25,0.5,3,0.7101
video017,98,handbag,17.25,27.75,10.5,5,0.4677
video017,103,apple,17.75,17.75,0.0,1,0.377
video017,104,person,18.25,19.25,1.0,5,0.6521
video017,105,person,18.25,19.25,1.0,5,0.7696
video017,108,cup,18.25,19.0,0.75,3,0.391
video017,109,person,18.5,28.0,9.5,6,0.4754
video017,110,vase,18.75,19.25,0.5,3,0.3494
video017,111,bottle,18.75,19.0,0.25,2,0.3614
video017,115,person,19.75,34.75,15.0,26,0.7995
video017,116,person,22.0,22.5,0.5,2,0.5667
video017,117,person,22.5,23.75,1.25,6,0.542
video017,128,person,32.75,34.75,2.0,8,0.5471
video017,135,person,34.0,34.25,0.25,2,0.3757
video017,137,person,34.25,34.25,0.0,1,0.3415
video018,1,person,0.5,6.5,6.0,25,0.8848
video018,2,chair,0.5,2.75,2.25,10,0.7815
video018,3,person,0.75,3.5,2.75,12,0.8173
video018,17,chair,7.0,8.75,1.75,8,0.7017
video018,18,person,7.0,29.5,22.5,77,0.6358
video018,19,chair,7.0,29.75,22.75,82,0.7965
video018,20,person,7.0,12.0,5.0,20,0.7244
video018,21,chair,7.0,7.25,0.25,2,0.3189
video018,26,person,8.0,9.25,1.25,6,0.4032
video018,32,person,9.5,9.5,0.0,1,0.3829
video018,46,person,11.75,14.75,3.0,7,0.2978
video018,49,person,12.5,13.0,0.5,3,0.3562
video018,52,chair,12.75,14.75,2.0,7,0.3574
video018,59,potted plant,14.5,14.75,0.25,2,0.3626
video019,1,car,0.0,1.5,1.5,7,0.5861
video019,2,car,0.0,0.25,0.25,2,0.3294
video019,10,person,2.0,23.25,21.25,83,0.7369
video019,11,person,2.0,23.75,21.75,87,0.8183
video019,12,couch,2.0,7.5,5.5,22,0.5408
video019,13,cup,2.0,4.25,2.25,10,0.4007
video019,14,bed,2.25,2.25,0.0,1,0.7321
video019,15,bed,3.0,3.0,0.0,1,0.4459
video019,25,person,8.0,8.0,0.0,1,0.5402
video019,27,book,8.0,8.0,0.0,1,0.385
video019,28,book,8.0,8.25,0.25,2,0.3294
video019,29,book,8.0,8.0,0.0,1,0.4663
video019,34,book,9.0,17.75,8.75,34,0.3328
video019,36,couch,9.25,23.75,14.5,42,0.4378
video019,55,tv,21.5,21.5,0.0,1,0.4674
video019,58,couch,22.25,22.75,0.5,3,0.3787
video019,59,tv,23.75,23.75,0.0,1,0.5639
video020,1,person,0.5,17.75,17.25,52,0.8325
video020,8,person,5.5,8.5,3.0,13,0.8462
video020,9,person,5.5,18.0,12.5,44,0.7551
video020,10,person,5.5,9.0,3.5,15,0.8458
video020,11,person,5.5,8.5,3.0,13,0.8288
video020,12,person,5.5,6.0,0.5,3,0.6
video020,16,chair,6.0,6.0,0.0,1,0.3781
video020,23,person,6.75,7.0,0.25,2,0.4618
video020,26,person,7.25,7.25,0.0,1,0.3525
video020,34,dining table,8.25,8.5,0.25,2,0.3666
video020,35,person,8.5,14.75,6.25,7,0.5157
video020,43,person,9.0,10.25,1.25,6,0.5333
video020,48,person,9.25,42.0,32.75,121,0.8875
video020,53,person,10.0,17.75,7.75,31,0.8413
video020,54,person,10.25,10.5,0.25,2,0.462
video020,61,person,13.75,17.75,4.0,16,0.8114
video020,67,person,14.0,15.5,1.5,3,0.5116
video020,71,person,14.0,18.0,4.0,13,0.6654
video020,73,chair,14.25,14.5,0.25,2,0.3599
video020,81,person,15.0,30.0,15.0,25,0.8445
video020,87,person,16.0,17.75,1.75,8,0.6632
video020,89,person,16.5,16.75,0.25,2,0.4679
video020,92,person,16.75,17.5,0.75,3,0.3629
video020,102,person,22.5,25.0,2.5,11,0.8626
video020,103,person,22.5,36.75,14.25,42,0.8354
video020,105,person,24.25,24.25,0.0,1,0.7145
video020,107,person,26.25,26.75,0.5,3,0.8965
video020,112,person,28.0,28.5,0.5,3,0.7512
video020,122,person,38.0,41.75,3.75,11,0.4581
video021,1,person,0.0,29.25,29.25,85,0.9374
video021,2,person,0.0,0.25,0.25,2,0.6632
video021,3,refrigerator,0.0,25.75,25.75,101,0.9167
video021,4,refrigerator,0.0,0.75,0.75,4,0.4311
video021,5,bicycle,0.0,1.0,1.0,5,0.4182
video021,6,book,0.0,0.0,0.0,1,0.254
video021,13,person,3.75,26.0,22.25,33,0.8861
video022,1,person,0.0,5.25,5.25,20,0.859
video022,2,tie,0.0,0.75,0.75,4,0.8534
video022,3,person,0.0,7.75,7.75,22,0.5849
video022,4,tie,1.25,1.75,0.5,3,0.7094
video022,5,person,1.75,11.25,9.5,31,0.8493
video022,6,tie,2.25,9.0,6.75,12,0.7552
video022,7,tie,4.75,7.75,3.0,13,0.8902
video022,14,person,11.0,35.25,24.25,48,0.8212
video022,15,person,13.5,22.75,9.25,29,0.904
video022,16,bowl,13.5,15.5,2.0,5,0.4851
video022,25,person,17.0,17.5,0.5,3,0.8397
video022,30,person,23.5,35.0,11.5,25,0.8894
video022,31,tie,23.5,23.75,0.25,2,0.8915
video022,36,person,25.5,27.25,1.75,3,0.4185
video022,37,tie,26.0,27.75,1.75,4,0.7663
video022,38,tie,26.75,31.0,4.25,8,0.7986
video022,40,person,27.75,33.75,6.0,25,0.8195
video022,45,tie,29.0,29.25,0.25,2,0.6779
video022,46,person,30.5,35.25,4.75,9,0.7162
video022,47,bottle,32.5,33.75,1.25,6,0.5144
video022,52,person,34.25,35.5,1.25,6,0.8721
video022,55,tv,34.75,35.5,0.75,4,0.5294
video023,1,person,0.0,2.0,2.0,5,0.8596
video023,2,boat,0.0,0.75,0.75,4,0.6436
video023,3,person,0.0,0.0,0.0,1,0.3554
video023,4,potted plant,0.0,4.75,4.75,11,0.6393
video023,5,boat,0.0,14.0,14.0,47,0.7913
video023,9,surfboard,0.75,1.25,0.5,3,0.4711
video023,20,person,1.75,2.25,0.5,2,0.7821
video023,41,bed,8.5,19.25,10.75,36,0.6668
video023,48,surfboard,12.5,13.25,0.75,4,0.4853
video023,63,boat,16.75,34.25,17.5,71,0.7765
video023,73,surfboard,20.75,22.5,1.75,8,0.5087
video023,77,surfboard,22.0,25.0,3.0,11,0.5372
video023,87,surfboard,25.0,34.75,9.75,17,0.4425
video023,97,surfboard,28.5,34.5,6.0,3,0.465
video023,105,surfboard,31.75,34.75,3.0,5,0.7093
video024,1,person,0.0,8.5,8.5,29,0.9135
video024,2,person,0.0,10.0,10.0,26,0.4656
video024,3,person,0.0,5.25,5.25,22,0.3934
video024,4,couch,0.0,5.0,5.0,21,0.2888
video024,6,person,6.25,29.0,22.75,86,0.8946
video024,11,cell phone,7.75,8.25,0.5,3,0.5047
video024,24,person,15.75,17.25,1.5,7,0.8393
video024,31,person,19.25,24.0,4.75,17,0.7599
video024,41,person,23.5,29.0,5.5,7,0.8802
video024,49,bed,25.75,25.75,0.0,1,0.7145
video024,52,bed,25.75,26.0,0.25,2,0.4961
video024,61,bed,28.0,28.25,0.25,2,0.4944
video025,1,person,0.0,9.75,9.75,40,0.8938
video025,2,person,0.0,5.0,5.0,21,0.252
video025,24,person,5.5,9.25,3.75,16,0.7695
video025,26,person,6.5,18.0,11.5,17,0.8394
video025,30,person,7.25,8.0,0.75,3,0.6248
video025,46,person,10.25,13.25,3.0,10,0.6527
video025,54,person,12.25,37.25,25.0,98,0.8641
video025,67,dog,14.5,14.5,0.0,1,0.476
video025,72,person,18.75,19.25,0.5,3,0.8111
video025,108,person,21.5,23.25,1.75,8,0.8538
video025,112,person,23.75,23.75,0.0,1,0.6967
video025,140,person,26.5,27.25,0.75,4,0.8095
video025,176,person,28.5,29.25,0.75,3,0.776
video025,193,dog,31.5,31.5,0.0,1,0.4473
video025,195,person,32.0,33.5,1.5,7,0.7428
video025,203,person,35.0,35.25,0.25,2,0.5701
video025,218,person,38.75,42.5,3.75,16,0.8862
video025,253,surfboard,41.5,41.5,0.0,1,0.6746
video026,1,person,0.0,31.75,31.75,118,0.8698
video026,2,person,0.0,19.0,19.0,77,0.7481
video026,3,person,0.0,4.0,4.0,10,0.3529
video026,4,person,0.0,7.0,7.0,7,0.4223
video026,9,airplane,1.5,30.5,29.0,72,0.4961
video026,43,chair,12.75,16.75,4.0,3,0.4283
video026,46,cell phone,13.0,16.75,3.75,2,0.4468
video026,60,person,16.0,31.75,15.75,52,0.6881
video026,72,cell phone,19.0,19.0,0.0,1,0.4612
video026,73,cell phone,19.0,19.0,0.0,1,0.4036
video026,74,cell phone,19.0,19.75,0.75,3,0.4105
video026,79,person,21.0,21.0,0.0,1,0.4941
video026,87,chair,23.0,29.0,6.0,4,0.3724
video026,91,person,23.25,23.25,0.0,1,0.517
video026,112,person,25.25,26.75,1.5,3,0.3227
video026,115,person,25.75,25.75,0.0,1,0.3382
video026,128,airplane,29.0,29.25,0.25,2,0.4167
video027,1,person,0.0,34.75,34.75,128,0.896
video027,2,person,0.0,34.75,34.75,127,0.8698
video027,3,chair,0.0,11.0,11.0,45,0.633
video027,4,potted plant,0.0,1.25,1.25,4,0.3669
video027,5,potted plant,0.0,10.25,10.25,38,0.4104
video027,6,chair,0.0,11.0,11.0,5,0.3949
video027,7,bowl,1.25,7.5,6.25,10,0.2977
video027,11,vase,5.75,7.5,1.75,3,0.389
video027,14,potted plant,6.5,15.0,8.5,18,0.4039
video027,36,dining table,14.0,27.0,13.0,53,0.5698
video027,37,oven,14.0,26.75,12.75,52,0.647
video027,56,potted plant,17.0,18.0,1.0,5,0.3784
video027,65,cup,18.5,25.75,7.25,20,0.3313
video027,75,potted plant,21.25,25.75,4.5,9,0.2859
video027,78,potted plant,21.5,26.5,5.0,19,0.5286
video027,86,chair,22.75,23.5,0.75,3,0.2806
video027,87,chair,23.0,30.25,7.25,17,0.5251
video027,120,potted plant,28.75,30.25,1.5,7,0.4962
video027,121,tie,28.75,28.75,0.0,1,0.4982
video027,123,vase,29.25,30.5,1.25,4,0.4557
video027,127,umbrella,31.0,34.75,3.75,9,0.471
video027,128,person,31.0,32.75,1.75,4,0.6465
video027,130,person,32.75,34.75,2.0,9,0.7608
video027,140,chair,34.75,34.75,0.0,1,0.3287
video027,141,tie,34.75,34.75,0.0,1,0.45
video028,1,person,0.0,18.5,18.5,43,0.8513
video028,2,person,0.0,12.5,12.5,50,0.8742
video028,3,orange,0.0,2.0,2.0,8,0.3749
video028,4,orange,0.0,1.25,1.25,6,0.3971
video028,5,person,0.0,0.0,0.0,1,0.3942
video028,6,person,0.0,0.0,0.0,1,0.366
video028,7,banana,0.0,0.0,0.0,1,0.348
video028,8,orange,0.0,8.25,8.25,3,0.3875
video028,9,banana,0.0,1.0,1.0,5,0.3811
video028,10,orange,0.0,0.0,0.0,1,0.3404
video028,11,person,0.0,0.0,0.0,1,0.2981
video028,45,person,2.75,7.25,4.5,19,0.6679
video028,47,person,2.75,7.25,4.5,17,0.4477
video028,48,person,3.0,3.0,0.0,1,0.8103
video028,49,person,3.0,4.75,1.75,8,0.4698
video028,50,tie,3.0,3.5,0.5,3,0.3854
video028,64,tie,8.5,29.25,20.75,60,0.8245
video028,72,bed,9.75,11.5,1.75,4,0.3475
video028,73,couch,9.75,18.25,8.5,4,0.3553
video028,77,person,12.0,12.25,0.25,2,0.3753
video028,83,banana,15.75,27.75,12.0,25,0.8354
video028,86,person,16.5,17.5,1.0,5,0.658
video028,87,person,16.5,17.5,1.0,5,0.4902
video028,91,person,17.25,17.5,0.25,2,0.5087
video028,103,person,22.0,29.75,7.75,19,0.8392
video028,104,banana,22.0,22.25,0.25,2,0.3958
video028,105,orange,22.0,23.75,1.75,8,0.4928
video028,106,person,22.0,24.0,2.0,8,0.3288
video028,107,person,22.0,24.0,2.0,9,0.3469
video028,115,banana,23.75,23.75,0.0,1,0.4497
video028,139,person,26.0,26.25,0.25,2,0.7181
video028,140,banana,26.0,26.0,0.0,1,0.6166
video028,141,person,26.0,26.5,0.5,3,0.4177
video028,143,orange,26.0,27.5,1.5,7,0.4532
video028,150,person,26.25,27.5,1.25,6,0.3838
video028,156,orange,26.5,27.25,0.75,4,0.3103
video028,170,apple,27.25,27.25,0.0,1,0.3643
