"titolo_video";"macroarea";"risposta"
"Video 27";"spaziale";"in cucina"
"Video 27";"temporale";"dopo!"
"Video 27";"causale";"perchè al posto di una camera da letto c'è la cucina"
"Video 28";"spaziale";"In una busta alimentare"
"Video 28";"temporale";"prima"
"Video 28";"causale";"perchè è l'addetto del negozio che si occupa di servire i clienti"
"Video 29";"spaziale";"dietro il muretto dove è appoggiato l'uomo che da indicazioni"
"Video 29";"temporale";"durante"
"Video 29";"causale";"perchè gli è stato detto che era sordo"
"Video 30";"spaziale";"Dentro la piscinetta"
"Video 30";"temporale";"Dopo"
"Video 30";"causale";"Perchè l'acqua è freddina"
"Video 31";"spaziale";"In un piatto e dopo in bocca lla bambina"
"Video 31";"temporale";"Dopo"
"Video 31";"causale";"Perchè le fa schifo l'avocado"
"Video 32";"spaziale";"nel piatto della bambina, ma non è un oggetto è cibo"
"Video 32";"temporale";"dopo"
"Video 32";"causale";"Perchè l'altra bambina con la maglietta rossa e bianca ha avuto la sua occasione di prendere il cibo prima"
"Video 33";"spaziale";"Nella neve fresca"
"Video 33";"temporale";"Massi"
"Video 33";"causale";"Perchè ha paura che ci sono dei sassi che non si vedono dove si tuffano gli uomini"
"Video 34";"spaziale";"Nelle mani di anastasia"
"Video 34";"temporale";"Dopo"
"Video 34";"causale";"Perchè ha fatto un passaggio fuori dalla portata dell'altezza di Anastasia"
"Video 35";"spaziale";"Al di là del bancone"
"Video 35";"temporale";"Dopo"
"Video 35";"causale";"Perchè è il contatore delle non-risposte al saluto"
"Video 36";"spaziale";"Sul marciapiede e poi sulle strisce pedonali"
"Video 36";"temporale";"dopo"
"Video 36";"causale";"No, assolutamente!"
"Video 37";"spaziale";"In terra in prossimità del cestino della spazzatura"
"Video 37";"temporale";"Dopo"
"Video 37";"causale";"Perchè è contento che la donna abbia fatto un opera per il sociale"
"Video 38";"spaziale";"In prossimità del protagonista del video"
"Video 38";"temporale";"A Nandina"
"Video 38";"causale";"Perchè l'osso essendo di mucca fa presagire che le cane possano mangiare anche Nandina"
"Video 39";"spaziale";"A sedere al tavolo"
"Video 39";"temporale";"Prima"
"Video 39";"causale";"Perchè l'uomo con la camicia blu è suo ospite"
"Video 40";"spaziale";"Al piedino"
"Video 40";"temporale";"Quando torneranno a casa"
"Video 40";"causale";"perchè vuole sapere come sta andando la preparazione dell'acconciature delle treccine"
"Video 41";"spaziale";"A Pesaro"
"Video 41";"temporale";"alle 12 del 31 dicembre"
"Video 41";"causale";"Perchè è Capodanno, una festività natalizia"
"Video 42";"spaziale";"In mare"
"Video 42";"temporale";"Dopo"
"Video 42";"causale";"Perchè la sabbia scotta"
"Video 43";"spaziale";"Alla paestra aretina di Taekwondo"
"Video 43";"temporale";"Prima"
"Video 43";"causale";"Perchè è ipovedente"
"Video 44";"spaziale";"Viene afferrata da dietro"
"Video 44";"temporale";"Prima"
"Video 44";"causale";"Perchè riesce a salvarsi dai malviventi"
"Video 45";"spaziale";"Postati in rete tramite gli smartphone"
"Video 45";"temporale";"Prima"
"Video 45";"causale";"Perchè sono in inferiorità numerica"
"Video 46";"spaziale";"dalla schermata di blocco dell'iphone"
"Video 46";"temporale";"prima l'orario"
"Video 46";"causale";"perchè lo conferma la schermata di blocco dell'iphone"
"Video 47";"spaziale";"sul tavolo"
"Video 47";"temporale";"Prima"
"Video 47";"causale";"Perchè pensa che un proprio relativo abbia fatto un incidente stradale"
"Video 48";"spaziale";"sulla cattedra"
"Video 48";"temporale";"Quello con il maglione giallo."
"Video 48";"causale";"Perchè la magia si è avverata e si sono invertiti i ruoli"
"Video 49";"spaziale";"A scuola"
"Video 49";"temporale";"3 anni"
"Video 49";"causale";"Perchè la scuola professionale ha offerto un'esperienza di pratica reale di ristrutturazione di una scuola per far fare esperienza agli alunni"
"Video 50";"spaziale";"per strada"
"Video 50";"temporale";"dopo"
"Video 50";"causale";"Perchè non usa veicolo con motore a scoppio. I bambini vanno solo a piedi"
"Video 51";"spaziale";"Nelle carte che pesca il bambino in fondo"
"Video 51";"temporale";"dopo"
"Video 51";"causale";"Perchè sta rispondendo delle istruzioni del bambino che pesca le carte"
"Video 52";"spaziale";"In macchina"
"Video 52";"temporale";"Molto prima"
"Video 52";"causale";"Perchè è un presente per la bambina"
"Video 53";"spaziale";"In bocca! Come per dire ""accipicchia"""
"Video 53";"temporale";"Prima"
"Video 53";"causale";"Perchè è di competenza del fattorino"
"Video 54";"spaziale";"Da un parcheggio pieno di macchine"
"Video 54";"temporale";"Prima in un'occasione passata"
"Video 54";"causale";"perchè nel parcheggio ce ne sono veramente tante"
"Video 55";"spaziale";"Sulla battigia"
"Video 55";"temporale";"Prima"
"Video 55";"causale";"Perchè l'acqua è fredda"
"Video 56";"spaziale";"In un vasetto"
"Video 56";"temporale";"Dopo"
"Video 56";"causale";"Perchè ha la fobia degli insetti"
"Video 57";"spaziale";"Nel piatto di vanessa"
"Video 57";"temporale";"Stava già masticando"
"Video 57";"causale";"Per le cozze che ha preso il padre"
"Video 58";"spaziale";"Sulla guancia e zigomi"
"Video 58";"temporale";"Mentre è sul treno"
"Video 58";"causale";"Perchè è rossa nel viso, come un livido"
"Video 59";"spaziale";"Sulle poltroncine della gondola"
"Video 59";"temporale";"Prima"
"Video 59";"causale";"Perchè la gondola rolla"
"Video 60";"spaziale";"Sul piede"
"Video 60";"temporale";"Prima"
"Video 60";"causale";"Perchè è sempre bagnata alle mani"
"Video 61";"spaziale";"In terrà rompendosi lo schermo"
"Video 61";"temporale";"dopo"
"Video 61";"causale";"Perchè hanno rotto lo schermo di un iphone 13 pro"
"Video 62";"spaziale";"Sul bacino"
"Video 62";"temporale";"no le mutande"
"Video 62";"causale";"Perchè non le piace"
"Video 63";"spaziale";"A sedere su una sedia"
"Video 63";"temporale";"Dopo"
"Video 63";"causale";"Perchè era il doppiatore del Genio della Lampada in Aladin"
"Video 64";"spaziale";"Da una camera del piano di sopra"
"Video 64";"temporale";"dopo"
"Video 64";"causale";"Perchè il cuscino non ci sta benissimo sul divano"
"Video 65";"spaziale";"Nella sala giunta di palazzo san giacomo"
"Video 65";"temporale";"Dopo"
"Video 65";"causale";"Perchè ha preso il massimo dei voti"
"Video 66";"spaziale";"In un punto della casa dove si vede molto spesso"
"Video 66";"temporale";"dopo"
"Video 66";"causale";"Perchè il soggetto del quadro ""lo fissa"" sempre in diversi momenti del giorno"
"Video 67";"spaziale";"sulle braccia dell'altro uomo"
"Video 67";"temporale";"Prima"
"Video 67";"causale";"Perchè è infastidito da tal atteggiamento espansivo"
"Video 68";"spaziale";"A circa 15/20 metri dall'entrata"
"Video 68";"temporale";"prima"
"Video 68";"causale";"Perchè è il palinsesto delle attività della palestra"
"Video 69";"spaziale";"In terra"
"Video 69";"temporale";"Dopo"
"Video 69";"causale";"perchè l'allenatore gli ha detto di fare così"
"Video 70";"spaziale";"in braccio all'uomo"
"Video 70";"temporale";"prima"
"Video 70";"causale";"Perchè non vuole tornare a casa"
"Video 71";"spaziale";"In terra sul tappeto principale"
"Video 71";"temporale";"prima"
"Video 71";"causale";"Per le indicazioni che le vengono fornite. In questo sta l'esercizio"
"Video 72";"spaziale";"in un cestino"
"Video 72";"temporale";"prima albi viene rimproverato"
"Video 72";"causale";"Perchè lascia in giro le sue cose di cui alcune sono rifiuti"
"Video 73";"spaziale";"sul letto"
"Video 73";"temporale";"la ragazza"
"Video 73";"causale";"per compatirla e per tranquillizzarla riguardo al fatto che la gravidanza andrà bene"
"Video 74";"spaziale";"in bagno a lavarsi i denti"
"Video 74";"temporale";"prima"
"Video 74";"causale";"Perchè la donna fuoricampo le ha detto che i denti devono essere lavati piano"
"Video 75";"spaziale";"è sbucato alla sinistra della giornalista"
"Video 75";"temporale";"Dopo"
"Video 75";"causale";"Per un'ordinanza comunale che ha chiuso le chiuso"
"Video 76";"spaziale";"nell'acqua per sciogliergli e far comparire gli alieni"
"Video 76";"temporale";"molto prima"
"Video 76";"causale";"perchè gli ufo avevano due colori diversi e quando si sono sciolti hanno rilasciato i propri colori"
"Video 77";"spaziale";"Sul pavimento"
"Video 77";"temporale";"prima"
"Video 77";"causale";"Perchè è senza sensi sul pavimento"
"Video 78";"spaziale";"Da nessuna parte perchè faceva finta di leggere il quaderno"
"Video 78";"temporale";"Dopo"
"Video 78";"causale";"Perchè la bambina faceva finta di fare i compiti e poi invece giocava con il cellulare"
"Video 79";"spaziale";"Per strada"
"Video 79";"temporale";"Dopo"
"Video 79";"causale";"Per la prova di evaquazione"
"Video 80";"spaziale";"in biblioteca pare"
"Video 80";"temporale";"dopo"
"Video 80";"causale";"Perchè lei ha scampato il compito (non saltandolo volutamente) e le compagne hanno trovato il libro sul quale lei studiava, e che le piaceva"
"Video 81";"spaziale";"Probabilmente preso dalla cartella, e l'altra ragazza lo mangia"
"Video 81";"temporale";"dopo"
"Video 81";"causale";"perchè le è uscito un altro risultato"
"Video 82";"spaziale";"Indica la scarpa"
"Video 82";"temporale";"prima e durante"
"Video 82";"causale";"Perchè gli manca un braccio"
"Video 83";"spaziale";"nel muso a vanessa!"
"Video 83";"temporale";"Prima"
"Video 83";"causale";"Perchè non si aspettava che le sarebbe arrivato in faccia un piatto di panna"
"Video 84";"spaziale";"Sulla mano ustionata"
"Video 84";"temporale";"Prima e durante"
"Video 84";"causale";"L'acqua bollente"
"Video 85";"spaziale";"In piscina"
"Video 85";"temporale";"Dopo"
"Video 85";"causale";"Perchè è piccolina ed è rimasta abbindolata"
"Video 86";"spaziale";"nel tubo dell'acqua"
"Video 86";"temporale";"Molto prima"
"Video 86";"causale";"Per ricambiare il favore d'aiuto di qualche giorno prima, per una puntura d'ape"
"Video 87";"spaziale";"sul tende ciondoloni"
"Video 87";"temporale";"dopo"
"Video 87";"causale";"Per il dente che sta per cadere"
"Video 88";"spaziale";"Per un lembo dopo che è stato piegato a dovere"
"Video 88";"temporale";"Dopo"
"Video 88";"causale";"Per l'effetto di come è stato piegato il foglio dopo il movimento"
"Video 89";"spaziale";"la tira fuori bonanno dal basso alla sua destra"
"Video 89";"temporale";"dopo"
"Video 89";"causale";"Per aver tirato fuori una spigola in aula e non aver obbedito a di Maio"
"Video 90";"spaziale";"Guarda l'orologio da polso"
"Video 90";"temporale";"Molto dopo"
"Video 90";"causale";"Perchè ha aspettato al freddo il perito industrale"
"Video 91";"spaziale";"Da una scaletta di legno"
"Video 91";"temporale";"Prima"
"Video 91";"causale";"Il fatto che siano lenti e che poi dopo salghino in massa"
"Video 92";"spaziale";"a vedere chi c'è nella cabina di pilotaggio"
"Video 92";"temporale";"Prima"
"Video 92";"causale";"Perchè il passeggero (pantaloni blu) deve tornare al suo posto"
"Video 93";"spaziale";"Alla macchinetta delle merendine"
"Video 93";"temporale";"Dopo"
"Video 93";"causale";"Perchè altrimenti le tolgono la patente (in senso ironico)"
"Video 94";"spaziale";"Sulle scale"
"Video 94";"temporale";"Dopo"
"Video 94";"causale";"Perchè la donna chiede al cavaliere di essere la sua dama in un momento non del tutto ameno"
"Video 95";"spaziale";"in aula a fare lezione"
"Video 95";"temporale";"dopo"
"Video 95";"causale";"Perchè il preside vuole parlare con lui"
"Video 96";"spaziale";"davanti alla cam. E poi dopo segue il cameramen"
"Video 96";"temporale";"dopo"
"Video 96";"causale";"Perchè la cagnolina ha risposto correttamente al comando di seguirlo"
"Video 97";"spaziale";"alla sbarra"
"Video 97";"temporale";"Prima"
"Video 97";"causale";"Per fare l'esercizio che gli ha detto l'insegnante"
"Video 98";"spaziale";"dopo le 22 carte che sono state scartate"
"Video 98";"temporale";"22"
"Video 98";"causale";"perchè non si aspettava che sbucasse esattamente la carta che ha pensato"
"Video 99";"spaziale";"In acqua"
"Video 99";"temporale";"Dopo"
"Video 99";"causale";"Perchè è più grande di esso"
"Video 100";"spaziale";"Appeso alla porta di camera."
"Video 100";"temporale";"Quello di lei"
"Video 100";"causale";"Perchè ironicamente ha disegnato un escremento rappresentante la sorella e poi il proprio ritratto non è che fosse proprio eccelso"
