titolo_video;macroarea;risposta
Video 69;causale;perché l'istruttore vuole osservare come esegue gli esercizi e valutarne le capacità fisiche, ma non è soddisfatto del risultato
Video 70;spaziale;sul ponte, mentre si trova in braccio all'uomo
Video 70;temporale;"in precedenza, quando è ancora sul ponte; successivamente viene trascinata con la forza verso la carrozza"
Video 70;causale;perché vuole essere lasciata e non desidera essere presa in braccio dall'uomo
Video 71;spaziale;di fronte alla bambina bendata
Video 71;temporale;"in precedenza rispetto all'azione seguente; la rotazione avviene successivamente"
Video 71;causale;perché l'altra bambina la guida fornendole istruzioni dettagliate su come muoversi
Video 72;spaziale;nel cestino rosa, dove vengono buttate le bottiglie
Video 72;temporale;prima il bambino con la maglietta nera rimprovera Albi, poi comincia a riordinare la stanza
Video 72;causale;perché la stanza è molto disordinata e, secondo lui, Albi ha lasciato spazzatura e bottiglie ovunque
Video 73;spaziale;sul letto, davanti al poster di Star Wars
Video 73;temporale;la ragazza è già sveglia nel momento in cui il ragazzo si alza
Video 73;causale;perché percepisce che lei è tesa e impaurita e cerca di confortarla
Video 74;spaziale;in bagno, davanti a un lavandino
Video 74;temporale;in un momento precedente
Video 74;causale;perché deve lavarsi bene i denti e una donna la avverte che, altrimenti, potrebbero caderle come alle vecchiette
Video 75;spaziale;nella Villa Comunale di Chieti, in mezzo alla neve e vicino alla persona intervistata
Video 75;temporale;dopo che il bambino ha lanciato la palla di neve, momento in cui si svolge l'intervista
Video 75;causale;perché c'è una consistente coltre di neve e il sindaco ha emesso un'ordinanza di chiusura
Video 76;spaziale;nelle bacinelle d'acqua sul tavolo decorato con stelle gialle e bianche
Video 76;temporale;all'inizio l'acqua è ancora normale e si colora soltanto dopo che i bambini vi inseriscono gli UFO
Video 76;causale;perché i due UFO hanno colori diversi, uno blu e uno verde, e trasferiscono queste tonalità all'acqua
Video 77;spaziale;sul pavimento, all'ingresso della stanza
Video 77;temporale;"dopo averlo chiamato più volte per andare a mangiare, lo trova addormentato; il sonno era iniziato in precedenza"
Video 77;causale;perché si è addormentato nell'altra stanza
Video 78;spaziale;sul quaderno dalla copertina blu
Video 78;temporale;dopo aver scoperto che la bambina teneva nascosto il telefono dietro il quaderno, la donna si arrabbia
Video 78;causale;perché Vanessa, invece di fare i compiti, stava giocando con il telefono
Video 79;spaziale;all'interno della scuola
Video 79;temporale;successivamente, quando la prova di evacuazione è già stata effettuata
Video 79;causale;perché a scuola si è svolta una prova di evacuazione e lui riferisce anche informazioni apprese da uno scienziato giapponese
Video 80;spaziale;nelle mani della ragazza con la felpa nera e i brillantini sotto gli occhi
Video 80;temporale;in un momento seguente
Video 80;causale;perché la persona non è presente con loro, ne sentono la mancanza e desiderano sentirla
Video 81;spaziale;nelle mani dell'altra ragazza, quella con la canotta verde, che lo sta mangiando
Video 81;temporale;lo prende in un momento successivo
Video 81;causale;perché pensava che il proprio risultato fosse corretto, ma all'altra ragazza viene un risultato differente
Video 82;spaziale;in basso, sui lacci della scarpa
Video 82;temporale;mentre gli allaccia la scarpa, quindi prima della fase successiva
Video 82;causale;perché ha perso un braccio in un incidente e, non avendo una mano, non riesce ad allacciarsi la scarpa da solo
Video 83;spaziale;in salotto, davanti al volto della bambina
Video 83;temporale;successivamente
Video 83;causale;perché la madre le fa uno scherzo: la bambina si aspettava che le portasse un panino
Video 84;spaziale;sulla mano ustionata della bambina
Video 84;temporale;in precedenza
Video 84;causale;perché l'altra bambina l'ha bruciata con acqua bollente o comunque molto calda
Video 85;spaziale;dentro l'acqua della piscina
Video 85;temporale;"prima dell'evento seguente; la caduta avviene successivamente"
Video 85;causale;perché è troppo bassa e ha le gambe troppo corte, circostanza che rende la scena comica e la fa ridere
Video 86;spaziale;sul tubo, cioè sulla canna verde davanti alla piscina
Video 86;temporale;in un momento precedente
Video 86;causale;perché la sorella si è fatta male e avverte dolore alla gamba
Video 87;spaziale;in bocca, direttamente sul dente
Video 87;temporale;in seguito
Video 87;causale;perché il dente le dondola e deve essere tolto, quindi la donna lo sta tirando
Video 88;spaziale;tenuto per l'angolo del foglio che non è stato piegato
Video 88;temporale;successivamente
Video 88;causale;perché la bambina agita il foglio piegato e il movimento fa sì che si apra
Video 89;spaziale;nella Camera dei Deputati, a terra dietro il deputato Buonanno
Video 89;temporale;dopo aver tirato fuori il pesce, quando comincia a urlare
Video 89;causale;perché il pesce e le urla creano scompiglio, quindi gli viene chiesto di abbassare la voce e di togliere la spigola
Video 90;spaziale;al polso, nel punto in cui porta l'orologio
Video 90;temporale;molto tempo più tardi
Video 90;causale;perché fa freddo e ha dovuto aspettare troppo a lungo l'amico che doveva passare a prenderlo
Video 91;spaziale;sulla scaletta di legno che conduce all'aereo
Video 91;temporale;in precedenza, quando la donna urla agli altri di sbrigarsi
Video 91;causale;perché i passeggeri sono in ritardo e devono salire di corsa sull'aereo
Video 92;spaziale;verso la parte anteriore dell'aereo, per vedere chi lo sta pilotando
Video 92;temporale;prima, quando intima all'uomo con il cappello di tornare a sedersi mentre agita la scopa
Video 92;causale;perché l'uomo in camicia rossa a maniche corte si è alzato dal posto per andare a parlare con il capitano
Video 93;spaziale;presso il distributore automatico di merendine
Video 93;temporale;in seguito: quando viene chiesto delle patatine al mais, la bambina con la coroncina è già sulla giostra chiamata Ferrari
Video 93;causale;per scherzare sul fatto che la giostra venga trattata come se fosse una Ferrari che lei sta guidando
Video 94;spaziale;sui gradini che conducono all'ingresso
Video 94;temporale;in un momento successivo
Video 94;causale;perché la donna rivolge una domanda indiscreta a un uomo appena conosciuto, mettendolo in difficoltà
Video 95;spaziale;in fondo alla propria aula scolastica
Video 95;temporale;dopo che il bidello lo chiama
Video 95;causale;perché il bidello lo convoca per andare nell'ufficio del preside, cioè in presidenza
Video 96;spaziale;nel parco, davanti alla persona che sta riprendendo
Video 96;temporale;in un momento seguente
Video 96;causale;perché ha eseguito correttamente il comando ricevuto e viene considerata brava
Video 97;spaziale;alle parallele utilizzate nella ginnastica artistica
Video 97;temporale;all'inizio, quando le ragazze sono appese: la prima cosa da fare è sollevare le ginocchia fino al petto
Video 97;causale;perché l'istruttrice propone una sfida e ordina loro di salire sulle parallele
Video 98;spaziale;all'interno del mazzo di carte
Video 98;temporale;alla posizione numero ventidue
Video 98;causale;perché il trucco è riuscito: deve ritrovare la carta scelta e il jack di picche risulta essere proprio quella selezionata
Video 99;spaziale;in mare, agganciata alla lenza collegata alla canna da pesca
Video 99;temporale;la tensione della canna si nota prima e subito dopo si capisce che il pesce ha abboccato
Video 99;causale;perché, secondo i pescatori, il pesce è di dimensioni molto grandi
Video 100;spaziale;appeso alla porta d'ingresso della cameretta della bambina
Video 100;temporale;viene mostrato per primo il suo autoritratto
Video 100;causale;perché si ironizza sulla sua bravura e sui disegni che realizza
