"titolo_video";"macroarea";"risposta"
"Video 14";"causale";"perché è una tecnica che va bene solo su alcuni tipi di piante, tipo la lattuga e la piantina è una piantina di lattuga"
"Video 15";"spaziale";"sulla pedana nella palestra"
"Video 15";"temporale";"lo scorso anno"
"Video 15";"causale";"perché è stata vicecampionessa italiana di nastro"
"Video 16";"spaziale";"viene macinato sopra il pezzo di carne davanti il tagliere"
"Video 16";"temporale";"il brodo vegetale era già stato messo a fare prima di macinare il pepe"
"Video 16";"causale";"perché al cuoco piace avere più sedano nella sua ricetta"
"Video 17";"spaziale";"vicino al bambino"
"Video 17";"temporale";"la mamma chiude il libro prima di guardare la foto del figlio"
"Video 17";"causale";"perché il bambino in riva al mare ha costruito un castello di sabbia molto grande"
"Video 18";"spaziale";"alla scrivania davanti la finestra"
"Video 18";"temporale";"l'uomo si siede e poi saluta la donna"
"Video 18";"causale";"lei si è convinta che l'uomo sia preoccupato per qualcuno, anche se lui dice diversamente"
"Video 19";"spaziale";"il padre mette il libro in mano alla bambina"
"Video 19";"temporale";"il padre deve finire di lavorare e poi dice alla bambina che mangeranno dopo"
"Video 19";"causale";"perché quando le porge il libro lei ribatte con ""ma io non so leggere"""
"Video 20";"spaziale";"secondo il professore il ragazzo è caduto dalla sedia"
"Video 20";"temporale";"la classe smette di fare casino quando il professore scoppia il petardo"
"Video 20";"causale";"perché il petardo ha generato un forte frastuono e lui è accorso a vedere cosa stesse accadendo nella classe"
"Video 21";"spaziale";"non sulla donna"
"Video 21";"temporale";"la donna gli chiede di riportare i figli a casa"
"Video 21";"causale";"perché le sono stati portati via i figli"
"Video 22";"spaziale";"si sono incontrati nella cella di prigione dove sono finiti entrambi"
"Video 22";"temporale";"la moglie di scott gli ha fatto avere i fogli del divorzio da firmare"
"Video 22";"causale";"perché sono i fogli che gli ha mandato la moglie che vuole divorziare"
"Video 23";"spaziale";"dal gonfiabile fatto a forma di coda di sirena"
"Video 23";"temporale";"prima che lei entri nell'acqua"
"Video 23";"causale";"perchè la biambina l'ha bagnata salendo sul gonfiabile"
"Video 24";"spaziale";"le bambine stanno giocando a mosca cieca"
"Video 24";"temporale";"dopo che hanno iniziato a giocare a mosca cieca"
"Video 24";"causale";"perché lei è la mosca che deve acchiappare le bamine"
"Video 25";"spaziale";"sul bagnasciuga, se lo inventa la bambina"
"Video 25";"temporale";"dopo che la cameramen ha salutato le bambine"
"Video 25";"causale";"si perché ha fatto un buco enorme nella sabbia che è grande quanto una piscina"
"Video 26";"spaziale";"verso il basso seguendo il movimento del macchinrio"
"Video 26";"temporale";"dopo la quarta ripetizione"
"Video 26";"causale";"perché lo spotter può finalmente dare assistenza aiutando l'uomo accarezzando il macchinario"
"Video 27";"spaziale";"nella porta dietro la ragazza con il maglione blu"
"Video 27";"temporale";"la ragazza inizia a ridere dopo aver aperto la porta"
"Video 27";"causale";"perché lo zio dice che dorme in cucina e la situazione fa ridere la ragazza"
"Video 28";"spaziale";"in un sacchetto di carta"
"Video 28";"temporale";"i due uomini decidono di comprare le banane prima di salutare il fruttivendolo"
"Video 28";"causale";"perché è il commerciante del negozio che si occupa di imbustarei prodotti e loro vogliono comprare le banane"
"Video 29";"spaziale";"dietro l'angolo dove si trova l'anziano con il maglione a righe"
"Video 29";"temporale";"il tabbaccaio si arrabbia dopo che l'uomo con la camicia bianca è entrato in tabaccheria seguendo le indicazioni del signore con la maglia a righe"
"Video 29";"causale";"perché gli era stato detto che ci sentisse poco"
"Video 30";"spaziale";"la signora vorrebbemetter i gonfiabili nella piscina"
"Video 30";"temporale";"la donna dice che la bambina con la maglia rosa non ha ancora cenato per questo lei piò mettere il piede in acqua"
"Video 30";"causale";"perché dopo aver messo il piede nell'acqua della poiscina, questa è molto fredda"
"Video 31";"spaziale";"lo mette con la mano direttamente nella bocca della bambina"
"Video 31";"temporale";"la bambina aveva l'avocado già in bocc quando la donna le dice ""dai prova amore"""
"Video 31";"causale";"perché non le piace affatto il cibo che la donna le ha messo in bocca"
"Video 32";"spaziale";"nel piatto sul tavolo"
"Video 32";"temporale";"la prende dopo quando lei non guarda"
"Video 32";"causale";"perché non vuole condividere la pasta"
"Video 33";"spaziale";"nella distesa di neve davanti a loro"
"Video 33";"temporale";"nassi è il primo ad essere in vantaggio tra i due uomini"
"Video 33";"causale";"perchè pesa possano esserci dei sassi sotto la neve e quindi i due uomini possano farsi male saltando"
"Video 34";"spaziale";"Anastasia è la prima a prendere la palla e si mette vicino la siepe"
"Video 34";"temporale";"anastasia inizia a fare le flessini dopo che Vanessa virne rimporverata"
"Video 34";"causale";"perché ha tirato al palla troppoforta ad anastasia non curandosi del fatto che lei è piccola"
"Video 35";"spaziale";"davanti al bancone del bar"
"Video 35";"temporale";"il primo cliente che si presenta è quallo che non saluta"
"Video 35";"causale";"il contatore rosso incrementa ogni volta he un cliente non salkuta il barrista"
"Video 36";"spaziale";"davanti le strisce pedonali"
"Video 36";"temporale";"sopo aver detto che si pingerà cieco per entrare nella parte"
"Video 36";"causale";"perché aspetta che le macchine si fermino , ma nessuno lo fa"
"Video 37";"spaziale";"per terra sulla strada in un parco"
"Video 37";"temporale";"dopo, per festeggiare l'atto di civilismo fatto dalla donna"
"Video 37";"causale";"per festeggiare chi compie un gesto educato e civile di buttare la spazzatura che si trova in terra"
"Video 38";"spaziale";"le ragazze sono sul prato"
"Video 38";"temporale";"nandina la mucca è la prima ad annusare l'osso"
"Video 38";"causale";"perché ha in manoun osso di mucca davanti alle mucche e lo da ai cani davanti alle mucche"
"Video 39";"spaziale";"davanti a se sul menu che ha in mano"
"Video 39";"temporale";"prima lo avvisa che è suo ospite e poi si siede"
"Video 39";"causale";"perché vuole fare una cortesia all'uomo suo ospite"
"Video 40";"spaziale";"sotto il piede"
"Video 40";"temporale";"dopo che sono andati a casa"
"Video 40";"causale";"perché la vede in sofferenza e ha paura le tirino i capelli"
"Video 41";"spaziale";"a buttarsi a mare in inverno"
"Video 41";"temporale";"alle 12 di ieri"
"Video 41";"causale";"perché è ilpriodo natalizio, e la tradizione vuole che si faccia il bagno a mare"
"Video 42";"spaziale";"in riva al mare sul bagnasciuga"
"Video 42";"temporale";"dopo perché all'inizio aveva ancora il vestito"
"Video 42";"causale";"perché la sabbia scottava troppo per i suoi piedi"
"Video 43";"spaziale";"sul tatami"
"Video 43";"temporale";"dopo perché le da istruzioni sulla prossima mossa da fare"
"Video 43";"causale";"perché è ipovedente"
"Video 44";"spaziale";"la ragazza vienafferrata da dietro e trattenuta"
"Video 44";"temporale";"la donna colpisce il malvivente dopo avergli urlato"
"Video 44";"causale";"perché dopo essersi ribellata ai due malviventi ha paura"
"Video 45";"spaziale";"a marotta non lontano dal locale new disco dinner"
"Video 45";"temporale";"i fatti si sono svolti di mattina"
"Video 45";"causale";"perchè le forze dell'ordine che sono andate a interrompere la rissa erano impreparate"
"Video 46";"spaziale";"sul telefono del ragazzo che parla"
"Video 46";"temporale";"la prima cosa che il ragazzo chiede all'assistenete è l'orario"
"Video 46";"causale";"perché è l'orario esatto nel momento in cui lo chiede all'assistente vocale"
"Video 47";"spaziale";"appoggiato davanti a lei"
"Video 47";"temporale";"prima chiede cosa può fare e dopo dice di essere sola"
"Video 47";"causale";"perché tramite la truffa telefonica viene detto che è successo un incidente stradale che coinvolge un parente della donna"
"Video 48";"spaziale";"sulla cattedra davanti a lei"
"Video 48";"temporale";"quello con il maglione giallo in fondo alla classe"
"Video 48";"causale";"perché la professoressa esprime il desiderio ci stare al posto dei bambini"
"Video 49";"spaziale";"in una scuola a lavorare"
"Video 49";"temporale";"tre anni"
"Video 49";"causale";"perché si tratta di un progetto condiviso tra due scuole una che insegna il mestiere e una che aveva bisogno di riparazioni e allora hanno unito le due cose per far fare agli alunni esperienza sul campo"
"Video 50";"spaziale";"i bambini si trovano per strada"
"Video 50";"temporale";"l'app del progetto è stast sviluppata dopo"
"Video 50";"causale";"perché non è un  vero autobus e non inquina"
"Video 51";"spaziale";"sul tavolo blu in fondo alla classe"
"Video 51";"temporale";"la bambina si muove prima"
"Video 51";"causale";"perchè nessuno aveva usato mai prima quel comando per far tornare indietro qualcuno"
"Video 52";"spaziale";"sui sedili posteriori della macchina"
"Video 52";"temporale";"tossisce prima, subito dopo aver fumato il sigaro"
"Video 52";"causale";"perché sta andando a prendere una bambina e le deve fare un regalo per non presentarsi a mani vuote"
"Video 53";"spaziale";"in bocca"
"Video 53";"temporale";"le aveva già tappate da prima"
"Video 53";"causale";"perché ci pensa il facchino ad accompanarli in camera"
"Video 54";"spaziale";"su una strada sterrata"
"Video 54";"temporale";"è succecco prima in base al racconto"
"Video 54";"causale";"perchè ci sono tantissime macchine e il parcheggio è pieno"
"Video 55";"spaziale";"a riva"
"Video 55";"temporale";"il padre è andato a fasi il bagno prima di tutti"
"Video 55";"causale";"perché l'acqua del mare è molto fredda"
"Video 56";"spaziale";"nel barattolo con il cucchiaino dentro"
"Video 56";"temporale";"si mangia a tavola dopo che l'insetto venga messo nel tovagliolo"
"Video 56";"causale";"perché è spaventa dagli insetti"
"Video 57";"spaziale";"sono nel piatto dell'altra bambina anastasia davanti a se ha il piatto della pizza"
"Video 57";"temporale";"stava già masticando"
"Video 57";"causale";"perché qualcuno ha preso le cozze che fanno un buon odore"
"Video 58";"spaziale";"sulla faccia della bambina"
"Video 58";"temporale";"mentre è sul treno"
"Video 58";"causale";"perché ha una macchia sulla guancia che sembra un livido"
"Video 59";"spaziale";"sono seduto sulla gondola nel canale a venezia"
"Video 59";"temporale";"la bambina dice che andare in gondola è rilassante dopo aver spiegato come sono saliti"
"Video 59";"causale";"perché è felice di essere andata oin godola per la prima volta"
"Video 60";"spaziale";"sulla mano e sul pide"
"Video 60";"temporale";"prima, mente corre per asciugarsi le mani"
"Video 60";"causale";"perch non si è asciugata ben e rimane umnida e quindi la sabbia si attacca"
"Video 61";"spaziale";"davanti al divano"
"Video 61";"temporale";"dopo che la donna entri nella stanza e vede le bambine litigare"
"Video 61";"causale";"perché litigano per il telefono e lo rompono"
"Video 62";"spaziale";"sui finachi per prendere le misure"
"Video 62";"temporale";"vuole vdere un'altra gonna e un scatola di mutande"
"Video 62";"causale";"perché la seconda che ha visto sul bancone le piaceva di più"
"Video 63";"spaziale";"affianco al conduttore"
"Video 63";"temporale";"dopo che la bambina faccia la domanda"
"Video 63";"causale";"perché la ba,bina gli ha chiesti di fare la voce del genio di aladdin"
"Video 64";"spaziale";"da sopra le scale"
"Video 64";"temporale";"dopo"
"Video 64";"causale";"perché il cuscino non entra nel divano e lei sta scomoda"
"Video 65";"spaziale";"in una sala in un palazzzo a Napoli"
"Video 65";"temporale";"l'anno già conseguita"
"Video 65";"causale";"perché stanno rpemiando tutti quelli che hanno preso 100 e lode nel comune di napoli, quindi lui avrà preso 100 e lode all maturità"
"Video 66";"spaziale";"attaccato al muro sopra le decorazioni"
"Video 66";"temporale";"Peppino consegna il regalo alla moglie prima di chiederle di tirare giù il quadro"
"Video 66";"causale";"perchè si sente osservato e inquitato dalla presenzae dall'espressione del quadro"
"Video 67";"spaziale";"sulla giacca e sulle mani dell'uomo con il completo grigio"
"Video 67";"temporale";"l'uomo con il cappello ride dopo aver iniziato ad importunare l'uomo"
"Video 67";"causale";"perché dice chiaramente che non gli piace essere toccato o dare tropa confidenza, ma l'uomo con il cappello invece continua ad importunarlo"
"Video 68";"spaziale";"alla fine del corridoio"
"Video 68";"temporale";"il ragazzo entra in aplestra già con il volantino in mano"
"Video 68";"causale";"perché il ragazzo vuole informazioni su come funziona all'interno della struttura e sul foglio c'è il programma"
"Video 69";"spaziale";"affianco all'istruttore che lo sprona"
"Video 69";"temporale";"dopo"
"Video 69";"causale";"perché c'è l'istruttore che vuole verificare le sue abilità fisiche, ma non è contetno del risultato"
"Video 70";"spaziale";"sul ponte"
"Video 70";"temporale";"prima, e poi viene trascinata di forza alla carrozza"
"Video 70";"causale";"perché non vuole essere presa in braccio dall'uomo"
"Video 71";"spaziale";"davanti alla bambina con la benda"
"Video 71";"temporale";"ruota dopo"
"Video 71";"causale";"perchè c'è l'altra bambina che le da dettagliate indicazioni su come procedere"
"Video 72";"spaziale";"vengono buttate nel cestino rosa"
"Video 72";"temporale";"il bambino con la maglietta nera rimpovera ""Albi"" pima di inziare a ordinare la camera"
"Video 72";"causale";"perché a suo dire ha lasciato tutta la stanza pieda di spazzatura incluse le bottiglie"
"Video 73";"spaziale";"davanti al poster di star wars"
"Video 73";"temporale";"la ragazza era già sveglia quando il ragazzo si alza"
"Video 73";"causale";"perchè sente che è tesa e vorrebbe confortarla"
"Video 74";"spaziale";"davanti ad un lavandino"
"Video 74";"temporale";"prima"
"Video 74";"causale";"perché una donna le dice che altriemnti le cadranno tutti i denti come le vecchiette"
"Video 75";"spaziale";"nella villa comunale di chieti, in mezzo alla neve"
"Video 75";"temporale";"l'intervista avviene dopo che il bambino lanci la palla di neve"
"Video 75";"causale";"percè chè una coltre di neve e il sindaco ha dato lordinanza di chiudere"
"Video 76";"spaziale";"nelle bacinelle sul tavolo astelle giallo e bianche"
"Video 76";"temporale";"l'acqua si colora solo dopo che i bambini abbiano preso gli ufo e li abbiano messi dentro"
"Video 76";"causale";"perché i due ufo sono di colori diversi uno blu e uno verde"
"Video 77";"spaziale";"all'ingresso della stanza"
"Video 77";"temporale";"lo trova addormetato dopo averlo chiamato più volte per andare a mangiare"
"Video 77";"causale";"perchè si trova addormentato nell'altra stanza"
"Video 78";"spaziale";"sul quaderno con la copertina blu"
"Video 78";"temporale";"la donna si arrabbia dopo aver scoperto che la bambina nascondeva il telefono dietro il quaderno"
"Video 78";"causale";"perché Vanessa stava giocando con il telefono"
"Video 79";"spaziale";"in una scuola"
"Video 79";"temporale";"dopo perché l'evaquazione è già avvenuta"
"Video 79";"causale";"perché c'è stat la prova di evaquazione a scuola"
"Video 80";"spaziale";"nelle mani della ragazza con la felpa nera e i diamntini sotto gli occhi"
"Video 80";"temporale";"dopo"
"Video 80";"causale";"perchè ne sentono la mancanza e vogliono sentirla"
"Video 81";"spaziale";"in mano alla ragazza con la canotta verde che lo sta mangiando"
"Video 81";"temporale";"lo prende dopo"
"Video 81";"causale";"perché a lei viene un risultato diverso"
"Video 82";"spaziale";"sui lacci della scarpa"
"Video 82";"temporale";"mentre gli allaccia la scarpa"
"Video 82";"causale";"perché ha perso il braccio in un incidente e non riesce da solo"
"Video 83";"spaziale";"in faccia alla bambina"
"Video 83";"temporale";"dopo"
"Video 83";"causale";"perché si aspettava che la mamma le portasse un panino"
"Video 84";"spaziale";"sulla mano bruciata della bambina"
"Video 84";"temporale";"prima"
"Video 84";"causale";"l'altra bambina l'ha bruciata con l'acqua calda"
"Video 85";"spaziale";"dentro l'acqua"
"Video 85";"temporale";"cade dopo"
"Video 85";"causale";"perché è troppo bassa e ha le gambe troppo corte"
"Video 86";"spaziale";"su un tubo verde davanti alla piscina"
"Video 86";"temporale";"prima"
"Video 86";"causale";"perché si è fatta male"
"Video 87";"spaziale";"in bocca"
"Video 87";"temporale";"dopo"
"Video 87";"causale";"perché ha un dente che le dondola e la donna lo sta tirando"
"Video 88";"spaziale";"in mano dall'angolo non piegato"
"Video 88";"temporale";"dopo"
"Video 88";"causale";"perché la bambina agita il foglio di carta piegato che si apre"
"Video 89";"spaziale";"in terra ditro il deputato buonanno"
"Video 89";"temporale";"inizia ad urlare solo dopo aver tirato fuori il pesce"
"Video 89";"causale";"perché crea scompiglio sia con il pesce che con le urla"
"Video 90";"spaziale";"sul suo polso"
"Video 90";"temporale";"molto dopo"
"Video 90";"causale";"perché fa freddo e ha spettato troppo l'amico che lo passasse a prendere"
"Video 91";"spaziale";"sulla scaletta per arrivare all'aereo"
"Video 91";"temporale";"la donna urla di sbrigarsi prima"
"Video 91";"causale";"i passeggeri dell'areo che fanno ritardo"
"Video 92";"spaziale";"verso la testa dell'aereo"
"Video 92";"temporale";"intima all'uomo con il cappello di tornare a sedersi agitando la scopa prima"
"Video 92";"causale";"perché l'uomo con la camicia a maniche corte rossa si è alzato dal suo posto per andare a parlare con il capitano"
"Video 93";"spaziale";"al ditrubutore di merendine"
"Video 93";"temporale";"la bambina con la coroncina è già sulla ferrari quando l'altra bambina chiede le patatine al mais"
"Video 93";"causale";"per scerzare sul fatto che la giostra sia una ferrari"
"Video 94";"spaziale";"sugli scalini dell'ingresso"
"Video 94";"temporale";"dopo"
"Video 94";"causale";"perché la donna ha posto una domanda indeiscreta ad un uomo appena coscciuto"
"Video 95";"spaziale";"nella sua classe in fondo"
"Video 95";"temporale";"dopo che il bidello lo chiami"
"Video 95";"causale";"perché è stato chiamato nell'ufficio del preside"
"Video 96";"spaziale";"davanti alla persona che riprende"
"Video 96";"temporale";"dopo"
"Video 96";"causale";"perché ha eseguito i comendi ed è stata brava"
"Video 97";"spaziale";"alle parallele di ginnastica artistica"
"Video 97";"temporale";"le ragazze sono appese e la prima cosa che devono fare è alzare le ginocchia  eportarle al petto"
"Video 97";"causale";"perché l'istruttrice ordina loro di salire"
"Video 98";"spaziale";"nel mazzo di carte"
"Video 98";"temporale";"alla ventuduesima"
"Video 98";"causale";"perché l'uomo le sta facendo un trucco con le carte e deve ritrovare quella scelta e il jack di picche è proprio quella scelta"
"Video 99";"spaziale";"appesa alla canna da pesca"
"Video 99";"temporale";"prima dalla tensione della canna"
"Video 99";"causale";"perché secondo i pescatori è molto grande"
"Video 100";"spaziale";"appeso sulla porta d'ingresso della cameretta della bambina"
"Video 100";"temporale";"prima il suo autoritratto"
"Video 100";"causale";"ironizza sui disegni che la bambina crea"
