"titolo_video";"macroarea";"risposta"
"Video 80";"causale";"perchè non è li con loro"
"Video 81";"spaziale";"lo sta mangiando l'altra ragazza"
"Video 81";"temporale";"dopo"
"Video 81";"causale";"credeva fosse giusto il suo"
"Video 82";"spaziale";"in basso verso la scarpa"
"Video 82";"temporale";"prima"
"Video 82";"causale";"non ha la mano"
"Video 83";"spaziale";"in salotto"
"Video 83";"temporale";"dopo"
"Video 83";"causale";"per uno scherzo della mamma"
"Video 84";"spaziale";"sulla mano"
"Video 84";"temporale";"prima"
"Video 84";"causale";"l'acqua bollente"
"Video 85";"spaziale";"in piscina"
"Video 85";"temporale";"prima"
"Video 85";"causale";"perchè ride"
"Video 86";"spaziale";"nella canna"
"Video 86";"temporale";"prima"
"Video 86";"causale";"perchè alla sorella gli fa male la gamba"
"Video 87";"spaziale";"sul dente"
"Video 87";"temporale";"dopo"
"Video 87";"causale";"deve togliere un dente"
"Video 88";"spaziale";"sugli angoli"
"Video 88";"temporale";"dopo"
"Video 88";"causale";"la bambina lo agita"
"Video 89";"spaziale";"nella camera dei deputati"
"Video 89";"temporale";"dopo"
"Video 89";"causale";"perchè deve abbassare la voce e togliere la spigola"
"Video 90";"spaziale";"l'orologio"
"Video 90";"temporale";"dopo"
"Video 90";"causale";"fa freddo ed ha dovuto attendere molto"
"Video 91";"spaziale";"su una scala di legno"
"Video 91";"temporale";"prima"
"Video 91";"causale";"salgono di corsa"
"Video 92";"spaziale";"a vedere chi pilota l'aereo"
"Video 92";"temporale";"prima"
"Video 92";"causale";"perchè l'uomo si era alzato"
"Video 93";"spaziale";"distributore automatico"
"Video 93";"temporale";"dopo"
"Video 93";"causale";"perchè guida la ferrari"
"Video 94";"spaziale";"sulle scale"
"Video 94";"temporale";"dopo"
"Video 94";"causale";"per le domande della donna"
"Video 95";"spaziale";"in aula"
"Video 95";"temporale";"dopo"
"Video 95";"causale";"chiamato dal bidello per andare in presidenza"
"Video 96";"spaziale";"in un parco"
"Video 96";"temporale";"dopo"
"Video 96";"causale";"perchè ha risposto al suo comando"
"Video 97";"spaziale";"alle parallele"
"Video 97";"temporale";"prima"
"Video 97";"causale";"per una sfida"
"Video 98";"spaziale";"nel mazzo"
"Video 98";"temporale";"22"
"Video 98";"causale";"perchè il trucco di magia è riuscito"
"Video 99";"spaziale";"in mare"
"Video 99";"temporale";"dopo che ha abboccato"
"Video 99";"causale";"perchè è grande"
"Video 100";"spaziale";"sulla porta"
"Video 100";"temporale";"il suo"
"Video 100";"causale";"perchè è brava"
